bar_idx,datetime,direction,stage_a,agg_decision,agg_score,agg_reason,old_decision,realR,exitype,st_nas,st_demand_supply,st_risk_sl,st_exhaustion_top,st_capitulation,st_rsi_momentum,st_bubbles,st_bull_beta,st_volume_vp,st_devils_advocate
631,2020-05-28 18:00,LONG,mid_range_noise,SKIP,0.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,hostile,neutral,neutral,supportive,supportive,neutral,hostile,hostile
685,2020-06-10 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.38,SCRATCH,neutral,hostile,hostile,hostile,supportive,neutral,supportive,supportive,neutral,veto
702,2020-06-15 14:00,LONG,liquidity_sweep_reversal,SKIP,0.0,VETO,TAKE,2.43,WIN_HELD,neutral,neutral,neutral,hostile,supportive,neutral,supportive,neutral,neutral,veto
766,2020-06-30 06:00,LONG,bull_pullback_continuation,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,hostile,supportive,supportive,hostile,neutral,hostile
780,2020-07-02 14:00,LONG,bull_pullback_continuation,SKIP,0.0,VETO,REVIEW,1.43,WIN_HELD,hostile,neutral,hostile,hostile,neutral,hostile,supportive,hostile,neutral,veto
833,2020-07-15 14:00,LONG,bull_pullback_continuation,SKIP,0.0,SCORE,REVIEW,3.9,WIN_RUNNER,hostile,supportive,supportive,neutral,neutral,neutral,hostile,hostile,neutral,hostile
845,2020-07-17 14:00,LONG,bull_pullback_continuation,REVIEW,1.0,SCORE,REVIEW,3.9,WIN_RUNNER,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,neutral,hostile
866,2020-07-23 02:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,2.09,WIN_HELD,hostile,neutral,hostile,hostile,hostile,hostile,hostile,hostile,neutral,veto
886,2020-07-28 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-0.04,SCRATCH,hostile,neutral,neutral,hostile,neutral,review_flag,hostile,hostile,neutral,hostile
901,2020-07-30 22:00,LONG,late_top_exhaustion,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,hostile,neutral,supportive,hostile,neutral,review_flag,hostile,hostile,hostile,veto
919,2020-08-04 22:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,neutral,hostile,supportive,hostile,neutral,veto
934,2020-08-07 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,supportive,hostile,supportive,review_flag,hostile,hostile,supportive,hostile
970,2020-08-17 10:00,NONE,unclear_conflict,REVIEW,0.5,SCORE,SKIP,-0.13,SCRATCH,neutral,neutral,neutral,neutral,neutral,supportive,neutral,neutral,neutral,hostile
1027,2020-08-30 22:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,neutral,neutral,hostile,hostile
1072,2020-09-09 14:00,NONE,demand_reclaim,REVIEW,2.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
1151,2020-09-28 18:00,LONG,bottom_reversal_capitulation,TAKE,4.5,SCORE,REVIEW,1.1,SCRATCH,supportive,neutral,neutral,supportive,neutral,supportive,supportive,supportive,hostile,hostile
1200,2020-10-08 22:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,-0.16,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
1211,2020-10-12 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-0.59,SCRATCH,hostile,neutral,hostile,hostile,hostile,review_flag,hostile,hostile,hostile,hostile
1221,2020-10-14 10:00,LONG,liquidity_sweep_reversal,SKIP,0.0,VETO,TAKE,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,supportive,neutral,supportive,neutral,neutral,veto
1298,2020-11-02 07:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,neutral,neutral,hostile,hostile,neutral,supportive,supportive,supportive,neutral,hostile
1316,2020-11-05 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
1326,2020-11-08 23:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,neutral,veto
1353,2020-11-13 11:00,LONG,demand_reclaim,TAKE,3.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
1429,2020-12-02 11:00,LONG,demand_reclaim,TAKE,3.5,SCORE,REVIEW,0.55,SCRATCH,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
1497,2020-12-17 19:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,1.2,SCRATCH,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,hostile,veto
1522,2020-12-23 23:00,LONG,mid_range_noise,TAKE,3.0,SCORE,REVIEW,0.9,WIN_BE,neutral,supportive,supportive,neutral,neutral,supportive,supportive,hostile,hostile,hostile
1568,2021-01-06 19:00,LONG,bottom_reversal_capitulation,SKIP,-1.5,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,hostile,supportive,neutral,supportive,hostile,hostile,hostile,supportive,neutral
1623,2021-01-20 03:00,LONG,liquidity_sweep_reversal,REVIEW,2.5,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,hostile,neutral
1661,2021-01-28 11:00,LONG,demand_reclaim,TAKE,3.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,neutral,supportive,supportive,neutral,neutral
1761,2021-02-22 07:00,LONG,demand_reclaim,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
1775,2021-02-24 15:00,NONE,bottom_reversal_capitulation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,supportive,neutral,neutral,supportive,neutral,veto
1836,2021-03-10 19:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,0.05,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
1873,2021-03-18 22:00,LONG,bear_bounce,SKIP,-1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,supportive,neutral,hostile,hostile
1901,2021-03-25 14:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,supportive,neutral,neutral,supportive,veto
1941,2021-04-06 06:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,hostile,supportive,supportive,hostile,neutral,supportive,supportive,neutral,neutral,neutral
2034,2021-04-27 18:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,neutral,neutral,hostile,neutral,veto
2053,2021-05-02 22:00,LONG,demand_reclaim,REVIEW,1.5,SCORE,TAKE,3.32,WIN_HELD,neutral,neutral,supportive,neutral,neutral,neutral,supportive,neutral,hostile,hostile
2100,2021-05-12 18:00,NONE,mid_range_noise,SKIP,-1.0,SCORE,SKIP,1.78,WIN_HELD,neutral,hostile,hostile,neutral,supportive,hostile,supportive,neutral,neutral,hostile
2110,2021-05-14 10:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,1.86,WIN_HELD,hostile,neutral,supportive,hostile,neutral,supportive,hostile,hostile,neutral,hostile
2174,2021-05-31 02:00,NONE,late_top_exhaustion,REVIEW,1.0,SCORE,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,hostile,hostile
2188,2021-06-02 14:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,hostile,hostile,neutral,neutral,neutral,hostile,neutral,veto
2204,2021-06-07 06:00,LONG,bear_bounce,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,supportive,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,veto
2222,2021-06-10 06:00,LONG,bottom_reversal_capitulation,SKIP,-1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,supportive,neutral,neutral,neutral,supportive,hostile
2320,2021-07-02 14:00,LONG,demand_reclaim,TAKE,5.5,SCORE,TAKE,1.47,WIN_HELD,supportive,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
2364,2021-07-14 02:00,LONG,bull_pullback_continuation,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,hostile,hostile
2372,2021-07-15 10:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,hostile,hostile,neutral,hostile,hostile,hostile,supportive,veto
2428,2021-07-28 18:00,NONE,mid_range_noise,SKIP,-1.5,SCORE,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,neutral,supportive,neutral,neutral,neutral,hostile
2488,2021-08-11 18:00,LONG,bottom_reversal_capitulation,TAKE,6.0,SCORE,REVIEW,1.02,SCRATCH,supportive,supportive,supportive,neutral,supportive,supportive,supportive,neutral,hostile,neutral
2497,2021-08-13 06:00,LONG,demand_reclaim,TAKE,3.0,SCORE,REVIEW,1.99,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,neutral,supportive,neutral,neutral
2544,2021-08-25 02:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,0.9,WIN_BE,hostile,hostile,hostile,hostile,neutral,neutral,hostile,neutral,hostile,hostile
2663,2021-09-22 02:00,LONG,demand_reclaim,TAKE,3.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,hostile,neutral
2705,2021-10-01 02:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,1.19,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
2737,2021-10-08 10:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,veto
2747,2021-10-12 02:00,LONG,demand_reclaim,REVIEW,2.0,SCORE,TAKE,0.9,WIN_BE,neutral,supportive,supportive,neutral,neutral,neutral,neutral,neutral,hostile,hostile
2859,2021-11-05 18:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,0.36,SCRATCH,hostile,hostile,hostile,hostile,neutral,supportive,supportive,hostile,hostile,veto
2896,2021-11-15 23:00,LONG,bull_pullback_continuation,REVIEW,0.5,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,hostile,supportive,hostile,hostile,hostile,hostile
2905,2021-11-17 11:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,neutral,neutral,supportive,hostile,neutral,veto
2922,2021-11-22 07:00,LONG,demand_reclaim,REVIEW,1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,supportive,neutral,neutral,hostile,neutral,hostile
2944,2021-11-26 03:00,LONG,bottom_reversal_capitulation,TAKE,6.0,SCORE,REVIEW,-1.1,STOP_LOSS,supportive,supportive,supportive,supportive,neutral,supportive,supportive,neutral,hostile,neutral
2991,2021-12-08 03:00,LONG,demand_reclaim,SKIP,0.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,hostile,neutral,neutral,supportive,neutral,supportive,hostile,hostile
3011,2021-12-13 11:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,neutral,hostile,hostile,neutral,supportive,neutral,supportive,neutral,hostile
3029,2021-12-16 11:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.59,SCRATCH,supportive,hostile,hostile,hostile,neutral,supportive,supportive,neutral,neutral,veto
3070,2021-12-28 07:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,hostile,supportive,supportive,hostile,hostile,hostile
3085,2021-12-30 19:00,NONE,bull_pullback_continuation,REVIEW,1.0,SCORE,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,supportive,hostile,hostile,hostile
3102,2022-01-04 15:00,LONG,liquidity_sweep_reversal,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,hostile,neutral,supportive,neutral,supportive,neutral,neutral,hostile
3118,2022-01-07 07:00,LONG,bottom_reversal_capitulation,TAKE,3.0,SCORE,REVIEW,0.99,SCRATCH,neutral,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,neutral
3126,2022-01-10 15:00,LONG,demand_reclaim,REVIEW,2.5,SCORE,REVIEW,2.02,WIN_HELD,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,neutral,neutral
3147,2022-01-14 03:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,supportive,supportive,hostile,hostile,supportive,supportive,hostile,hostile,hostile
3162,2022-01-18 15:00,NONE,liquidity_sweep_reversal,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,neutral,supportive,neutral,supportive,neutral,neutral,veto
3178,2022-01-21 07:00,NONE,liquidity_sweep_reversal,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,hostile,hostile,hostile,supportive,supportive,supportive,hostile,supportive,veto
3190,2022-01-25 07:00,LONG,demand_reclaim,REVIEW,0.5,SCORE,REVIEW,-1.1,STOP_LOSS,hostile,supportive,supportive,neutral,neutral,supportive,neutral,hostile,neutral,neutral
3219,2022-02-01 03:00,LONG,bottom_reversal_capitulation,TAKE,7.0,SCORE,REVIEW,2.66,WIN_HELD,supportive,supportive,supportive,supportive,supportive,supportive,neutral,supportive,neutral,neutral
3238,2022-02-04 07:00,LONG,demand_reclaim,TAKE,3.0,SCORE,REVIEW,2.41,WIN_HELD,neutral,supportive,supportive,neutral,neutral,hostile,supportive,supportive,neutral,hostile
3252,2022-02-08 15:00,NONE,bull_pullback_continuation,SKIP,-3.5,SCORE,SKIP,1.84,WIN_HELD,hostile,hostile,hostile,neutral,hostile,supportive,hostile,neutral,neutral,hostile
3326,2022-02-24 23:00,LONG,liquidity_sweep_reversal,REVIEW,2.5,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,supportive,hostile,hostile,hostile,neutral,neutral
3443,2022-03-24 10:00,LONG,bull_pullback_continuation,TAKE,3.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,neutral,supportive,supportive,neutral,neutral,neutral
3474,2022-03-31 14:00,LONG,bull_pullback_continuation,TAKE,3.5,SCORE,REVIEW,0.38,SCRATCH,neutral,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral
3491,2022-04-05 10:00,LONG,bull_pullback_continuation,REVIEW,2.5,SCORE,REVIEW,0.9,WIN_BE,neutral,supportive,supportive,neutral,neutral,supportive,neutral,neutral,neutral,neutral
3509,2022-04-08 10:00,LONG,bull_pullback_continuation,REVIEW,2.5,SCORE,REVIEW,0.9,WIN_BE,neutral,supportive,supportive,neutral,neutral,supportive,hostile,neutral,neutral,neutral
3622,2022-05-06 06:00,LONG,bear_bounce,REVIEW,2.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,neutral,supportive,supportive,neutral,hostile
3678,2022-05-19 14:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,0.66,SCRATCH,supportive,hostile,hostile,hostile,neutral,supportive,supportive,supportive,neutral,veto
3773,2022-06-10 10:00,LONG,bottom_reversal_capitulation,REVIEW,2.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,hostile,supportive,supportive,supportive,neutral,supportive,supportive,supportive,neutral
3799,2022-06-16 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,neutral,neutral,hostile,veto
3825,2022-06-23 02:00,LONG,mid_range_noise,SKIP,0.0,VETO,TAKE,-1.1,STOP_LOSS,neutral,neutral,neutral,hostile,neutral,neutral,supportive,neutral,hostile,veto
3836,2022-06-26 22:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
3929,2022-07-18 10:00,LONG,bottom_reversal_capitulation,TAKE,5.5,SCORE,REVIEW,-1.1,STOP_LOSS,supportive,supportive,supportive,neutral,neutral,supportive,supportive,supportive,neutral,hostile
3949,2022-07-21 18:00,NONE,bottom_reversal_capitulation,REVIEW,1.5,SCORE,SKIP,3.54,WIN_HELD,supportive,hostile,hostile,neutral,neutral,supportive,supportive,supportive,neutral,hostile
4095,2022-08-25 02:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,neutral,hostile,hostile,neutral,supportive,supportive,neutral,hostile,veto
4243,2022-09-28 18:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,0.18,SCRATCH,supportive,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,hostile
4309,2022-10-13 18:00,LONG,bear_bounce,SKIP,0.0,VETO,TAKE,-1.1,STOP_LOSS,neutral,neutral,hostile,neutral,neutral,supportive,supportive,neutral,hostile,veto
4346,2022-10-23 22:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,0.4,SCRATCH,neutral,hostile,hostile,hostile,neutral,supportive,supportive,supportive,neutral,veto
4372,2022-10-28 06:00,LONG,bear_bounce,TAKE,3.5,SCORE,TAKE,-1.1,STOP_LOSS,neutral,supportive,supportive,neutral,supportive,neutral,supportive,supportive,supportive,hostile
4384,2022-11-01 06:00,NONE,demand_reclaim,SKIP,-0.5,SCORE,SKIP,2.75,WIN_HELD,neutral,hostile,hostile,neutral,neutral,supportive,supportive,supportive,neutral,hostile
4401,2022-11-04 02:00,LONG,demand_reclaim,SKIP,0.0,VETO,REVIEW,2.76,WIN_HELD,neutral,hostile,hostile,hostile,neutral,hostile,supportive,neutral,hostile,veto
4429,2022-11-10 19:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-0.11,SCRATCH,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
4483,2022-11-23 19:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,1.82,WIN_HELD,neutral,hostile,hostile,hostile,neutral,supportive,supportive,hostile,hostile,hostile
4513,2022-11-30 23:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,0.49,SCRATCH,hostile,hostile,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
4530,2022-12-05 19:00,LONG,liquidity_sweep_reversal,REVIEW,1.0,SCORE,REVIEW,1.28,WIN_HELD,hostile,supportive,supportive,neutral,supportive,neutral,supportive,neutral,neutral,neutral
4574,2022-12-15 03:00,LONG,demand_reclaim,REVIEW,1.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,neutral,neutral,supportive,neutral,neutral,hostile
4609,2022-12-22 23:00,LONG,liquidity_sweep_reversal,REVIEW,1.0,SCORE,REVIEW,3.9,WIN_RUNNER,neutral,hostile,supportive,neutral,supportive,neutral,supportive,neutral,hostile,neutral
4644,2023-01-03 19:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,2.17,WIN_HELD,hostile,hostile,hostile,hostile,neutral,review_flag,hostile,hostile,hostile,veto
4677,2023-01-11 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,2.05,WIN_HELD,hostile,supportive,supportive,hostile,hostile,supportive,hostile,hostile,neutral,hostile
4763,2023-01-31 15:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,neutral,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,hostile
4899,2023-03-03 07:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,supportive,hostile,neutral,supportive,supportive,supportive,neutral,neutral
4908,2023-03-06 19:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,neutral,supportive,hostile,neutral,review_flag,neutral,neutral,neutral,neutral
4918,2023-03-08 11:00,LONG,bottom_reversal_capitulation,TAKE,7.5,SCORE,TAKE,3.9,WIN_RUNNER,supportive,supportive,supportive,supportive,supportive,supportive,supportive,supportive,neutral,hostile
4926,2023-03-09 19:00,LONG,mid_range_noise,REVIEW,1.0,SCORE,REVIEW,3.9,WIN_RUNNER,neutral,neutral,hostile,neutral,supportive,supportive,supportive,neutral,neutral,hostile
4964,2023-03-20 02:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-0.43,SCRATCH,hostile,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,veto
4996,2023-03-27 10:00,LONG,bottom_reversal_capitulation,REVIEW,1.0,SCORE,TAKE,2.51,WIN_HELD,hostile,supportive,supportive,neutral,supportive,neutral,supportive,neutral,supportive,neutral
5016,2023-03-30 18:00,NONE,bull_pullback_continuation,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,hostile,neutral,hostile,hostile,neutral,supportive,neutral,hostile,hostile,hostile
5042,2023-04-06 02:00,NONE,late_top_exhaustion,SKIP,0.0,VETO,SKIP,-0.41,SCRATCH,hostile,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
5055,2023-04-11 06:00,LONG,mid_range_noise,REVIEW,1.0,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,supportive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,hostile
5087,2023-04-18 14:00,LONG,mid_range_noise,SKIP,0.0,VETO,TAKE,-1.1,STOP_LOSS,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,veto
5103,2023-04-21 06:00,LONG,mid_range_noise,TAKE,3.5,SCORE,TAKE,2.34,WIN_HELD,neutral,supportive,supportive,neutral,supportive,neutral,supportive,supportive,supportive,hostile
5147,2023-05-02 14:00,NONE,mid_range_noise,SKIP,0.0,VETO,SKIP,-0.8,SCRATCH,neutral,neutral,supportive,hostile,neutral,supportive,hostile,neutral,neutral,neutral
5165,2023-05-05 14:00,LONG,mid_range_noise,SKIP,0.0,VETO,REVIEW,-1.1,STOP_LOSS,hostile,hostile,neutral,hostile,supportive,hostile,hostile,neutral,neutral,neutral
5296,2023-06-06 10:00,LONG,mid_range_noise,TAKE,3.5,SCORE,REVIEW,-1.1,STOP_LOSS,neutral,neutral,supportive,neutral,supportive,supportive,supportive,supportive,neutral,neutral
5321,2023-06-12 14:00,NONE,bear_bounce,SKIP,0.0,VETO,SKIP,-1.1,STOP_LOSS,neutral,hostile,neutral,hostile,neutral,hostile,neutral,supportive,neutral,veto
