bar_time,ohlcv_time,rsi_value,rsi_ma,nas_value,source_snapshot_time,source_bar_index,alignment_status,causal_ok,duplicate_snapshot_flag,notes
1360004400,1360004400,57.01,49.02,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-04T21:58:59+00:00,12,OK,True,False,
1360018800,1360018800,56.84,50.13,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T02:59:59+00:00,13,OK,True,False,
1360033200,1360033200,55.87,50.93,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T06:59:59+00:00,14,OK,True,False,
1360047600,1360047600,58.8,52.33,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T10:59:59+00:00,15,OK,True,False,
1360062000,1360062000,60.02,53.56,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T14:59:59+00:00,16,OK,True,False,
1360076400,1360076400,53.95,53.65,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T18:59:59+00:00,17,OK,True,False,
1360090800,1360090800,51.03,53.28,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-05T21:58:59+00:00,18,OK,True,False,
1360105200,1360105200,52.35,53.37,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T02:59:59+00:00,19,OK,True,False,
1360119600,1360119600,53.64,53.83,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T06:59:59+00:00,20,OK,True,False,
1360134000,1360134000,52.48,53.64,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T10:59:59+00:00,21,OK,True,False,
1360148400,1360148400,46.18,52.74,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T14:59:59+00:00,22,OK,True,False,
1360162800,1360162800,55.06,54.05,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T18:59:59+00:00,23,OK,True,False,
1360177200,1360177200,56.92,54.79,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-06T21:58:59+00:00,24,OK,True,False,
1360191600,1360191600,57.14,54.86,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T02:59:59+00:00,25,OK,True,False,
1360206000,1360206000,57.99,55.03,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T06:59:59+00:00,26,OK,True,False,
1360220400,1360220400,59.03,55.33,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T10:59:59+00:00,27,OK,True,False,
1360234800,1360234800,56.2,54.94,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T14:59:59+00:00,28,OK,True,False,
1360249200,1360249200,41.82,52.61,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T18:59:59+00:00,29,OK,True,False,
1360263600,1360263600,49.53,52.84,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-07T21:58:59+00:00,30,OK,True,False,
1360278000,1360278000,48.15,52.58,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-08T06:59:59+00:00,32,OK,True,True,
1360306800,1360306800,49.34,52.14,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-08T10:59:59+00:00,33,OK,True,False,
1360321200,1360321200,46.9,51.55,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-08T14:59:59+00:00,34,OK,True,False,
1360335600,1360335600,43.02,51.03,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-08T18:59:59+00:00,35,OK,True,False,
1360350000,1360350000,44.06,50.33,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-08T21:54:59+00:00,36,OK,True,False,
1360537200,1360537200,40.65,49.08,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T02:59:59+00:00,37,OK,True,False,
1360551600,1360551600,43.71,48.3,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T06:59:59+00:00,38,OK,True,False,
1360566000,1360566000,44.22,47.37,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T10:59:59+00:00,39,OK,True,False,
1360580400,1360580400,34.84,44.98,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T14:59:59+00:00,40,OK,True,False,
1360594800,1360594800,25.77,42.16,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T18:59:59+00:00,41,OK,True,False,
1360609200,1360609200,25.0,40.89,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-11T21:58:59+00:00,42,OK,True,False,
1360623600,1360623600,25.27,39.13,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T02:59:59+00:00,43,OK,True,False,
1360638000,1360638000,22.33,37.05,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T06:59:59+00:00,44,OK,True,False,
1360652400,1360652400,26.99,35.77,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T10:59:59+00:00,45,OK,True,False,
1360666800,1360666800,24.03,33.75,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T14:59:59+00:00,46,OK,True,False,
1360681200,1360681200,32.15,33.28,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T18:59:59+00:00,47,OK,True,False,
1360695600,1360695600,35.84,33.03,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-12T21:58:59+00:00,48,OK,True,False,
1360710000,1360710000,41.05,33.08,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-13T06:59:59+00:00,50,OK,True,True,
1360738800,1360738800,38.87,32.54,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-13T10:59:59+00:00,51,OK,True,False,
1360753200,1360753200,36.37,31.79,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-13T14:59:59+00:00,52,OK,True,False,
1360767600,1360767600,31.11,31.52,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-13T18:59:59+00:00,53,OK,True,False,
1360782000,1360782000,31.13,31.9,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-13T21:58:59+00:00,54,OK,True,False,
1360796400,1360796400,33.24,32.65,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T02:59:59+00:00,55,OK,True,False,
1360810800,1360810800,37.23,33.83,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T06:59:59+00:00,56,OK,True,False,
1360825200,1360825200,35.73,34.68,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T10:59:59+00:00,57,OK,True,False,
1360839600,1360839600,36.54,35.42,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T14:59:59+00:00,58,OK,True,False,
1360854000,1360854000,41.22,36.98,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T18:59:59+00:00,59,OK,True,False,
1360868400,1360868400,30.51,36.09,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-14T21:58:59+00:00,60,OK,True,False,
1360882800,1360882800,29.76,35.66,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T02:59:59+00:00,61,OK,True,False,
1360897200,1360897200,29.36,34.89,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T06:59:59+00:00,62,OK,True,False,
1360911600,1360911600,28.5,33.84,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T10:59:59+00:00,63,OK,True,False,
1360926000,1360926000,24.7,32.55,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T14:59:59+00:00,64,OK,True,False,
1360940400,1360940400,17.21,30.64,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T18:59:59+00:00,65,OK,True,False,
1360954800,1360954800,15.8,29.08,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-15T21:54:59+00:00,66,OK,True,False,
1361142000,1361142000,20.91,28.72,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T02:59:59+00:00,67,OK,True,False,
1361156400,1361156400,31.16,29.3,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T06:59:59+00:00,68,OK,True,False,
1361170800,1361170800,29.52,28.63,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T10:59:59+00:00,69,OK,True,False,
1361185200,1361185200,27.58,27.9,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T14:59:59+00:00,70,OK,True,False,
1361199600,1361199600,28.77,27.43,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T18:59:59+00:00,71,OK,True,False,
1361214000,1361214000,28.03,26.42,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-18T21:58:59+00:00,72,OK,True,False,
1361228400,1361228400,28.68,26.27,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T02:59:59+00:00,73,OK,True,False,
1361242800,1361242800,35.81,27.17,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T06:59:59+00:00,74,OK,True,False,
1361257200,1361257200,34.98,27.51,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T10:59:59+00:00,75,OK,True,False,
1361271600,1361271600,33.72,27.8,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T14:59:59+00:00,76,OK,True,False,
1361286000,1361286000,29.99,27.93,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T18:59:59+00:00,77,OK,True,False,
1361300400,1361300400,28.03,28.56,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-19T21:58:59+00:00,78,OK,True,False,
1361314800,1361314800,29.3,29.63,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T02:59:59+00:00,79,OK,True,False,
1361329200,1361329200,29.45,30.28,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T06:59:59+00:00,80,OK,True,False,
1361343600,1361343600,35.04,30.96,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T10:59:59+00:00,81,OK,True,False,
1361358000,1361358000,25.8,30.03,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T14:59:59+00:00,82,OK,True,False,
1361372400,1361372400,22.9,29.5,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T18:59:59+00:00,83,OK,True,False,
1361386800,1361386800,19.54,28.6,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-20T21:58:59+00:00,84,OK,True,False,
1361401200,1361401200,16.03,27.46,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T02:59:59+00:00,85,OK,True,False,
1361415600,1361415600,14.91,26.46,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T06:59:59+00:00,86,OK,True,False,
1361430000,1361430000,23.11,26.14,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T10:59:59+00:00,87,OK,True,False,
1361444400,1361444400,22.42,25.19,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T14:59:59+00:00,88,OK,True,False,
1361458800,1361458800,30.61,25.55,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T18:59:59+00:00,89,OK,True,False,
1361473200,1361473200,34.0,26.07,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-21T21:58:59+00:00,90,OK,True,False,
1361487600,1361487600,34.26,26.46,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T02:59:59+00:00,91,OK,True,False,
1361502000,1361502000,38.92,27.46,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T06:59:59+00:00,92,OK,True,False,
1361516400,1361516400,42.43,28.61,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T10:59:59+00:00,93,OK,True,False,
1361530800,1361530800,40.72,28.9,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T14:59:59+00:00,94,OK,True,False,
1361545200,1361545200,35.64,29.24,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T18:59:59+00:00,95,OK,True,False,
1361559600,1361559600,34.97,30.05,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-22T21:54:59+00:00,96,OK,True,False,
1361746800,1361746800,41.92,32.16,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T02:59:59+00:00,97,OK,True,False,
1361761200,1361761200,45.01,34.5,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T06:59:59+00:00,98,OK,True,False,
1361775600,1361775600,46.9,36.92,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T10:59:59+00:00,99,OK,True,False,
1361790000,1361790000,53.23,39.52,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T14:59:59+00:00,100,OK,True,False,
1361804400,1361804400,49.39,41.18,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T18:59:59+00:00,101,OK,True,False,
1361818800,1361818800,50.02,42.61,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-25T21:58:59+00:00,102,OK,True,False,
1361833200,1361833200,52.48,44.16,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-26T02:59:59+00:00,103,OK,True,False,
1361847600,1361847600,52.48,44.16,"{""NAS_LONG_SIGNAL"":0.0,""NAS_SHORT_SIGNAL"":0.0,""NAS_BOTTOM_SIGNAL"":0.0,""NAS_TOP_SIGNAL"":0.0}",2013-02-26T06:59:59+00:00,104,OK,True,False,
