episode_id,datetime,old_decision,agg_v0_decision,agg_v1_decision,stage_a_context,nas_state,demand_supply_state,risk_sl_state,exhaustion_top_state,capit_rsi_layer_state,da_veto_state,main_supports,main_conflicts,final_reason,outcome,realR,de_capped_R,exit_type
2663,2021-09-22 02:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,volume_vp,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
2705,2021-10-01 02:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,SCRATCH,1.19,1.19,SCRATCH
2737,2021-10-08 10:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
2747,2021-10-12 02:00,TAKE,REVIEW,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,volume_vp|devils_advocate,anchor_clean,WIN,0.9,0.9,WIN_BE
2859,2021-11-05 18:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|bull_beta|volume_vp|devils_advocate,FATAL:late_top_context,SCRATCH,0.36,0.36,SCRATCH
2896,2021-11-15 23:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|capitulation|bubbles|bull_beta|volume_vp|devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
2905,2021-11-17 11:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,hostile,no,veto,,nas|demand_supply|risk_sl|exhaustion_top|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
2922,2021-11-22 07:00,REVIEW,REVIEW,REVIEW,demand_reclaim,neutral,neutral,supportive,neutral,no,hostile,risk_sl,bull_beta|devils_advocate,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
2944,2021-11-26 03:00,REVIEW,TAKE,TAKE,bottom_reversal_capitulation,supportive,supportive,supportive,supportive,no,neutral,nas|demand_supply|risk_sl|exhaustion_top,volume_vp,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
2991,2021-12-08 03:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,neutral,hostile,neutral,no,hostile,,risk_sl|volume_vp|devils_advocate,no_anchor_no_support,STOP,-1.1,-1.1,STOP_LOSS
3011,2021-12-13 11:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,neutral,hostile,hostile,no,hostile,,risk_sl|exhaustion_top|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3029,2021-12-16 11:00,SKIP,SKIP,SKIP,bull_pullback_continuation,supportive,hostile,hostile,hostile,no,veto,nas,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,0.59,0.59,SCRATCH
3070,2021-12-28 07:00,SKIP,SKIP,SKIP,late_top_exhaustion,hostile,supportive,supportive,hostile,no,hostile,demand_supply|risk_sl,nas|exhaustion_top|capitulation|bull_beta|volume_vp|devils_advocate,FATAL:late_top_context,STOP,-1.1,-1.1,STOP_LOSS
3085,2021-12-30 19:00,SKIP,REVIEW,TAKE,bull_pullback_continuation,hostile,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,nas|bull_beta|volume_vp|devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
3102,2022-01-04 15:00,REVIEW,REVIEW,REVIEW,liquidity_sweep_reversal,neutral,supportive,hostile,neutral,no,hostile,demand_supply,risk_sl|devils_advocate,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
3118,2022-01-07 07:00,REVIEW,TAKE,REVIEW,bottom_reversal_capitulation,neutral,neutral,supportive,supportive,no,neutral,risk_sl|exhaustion_top,,no_anchor_partial_support,SCRATCH,0.99,0.99,SCRATCH
3126,2022-01-10 15:00,REVIEW,REVIEW,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,WIN,2.02,2.02,WIN_HELD
3147,2022-01-14 03:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,supportive,supportive,hostile,no,hostile,demand_supply|risk_sl,nas|exhaustion_top|capitulation|bull_beta|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3162,2022-01-18 15:00,SKIP,SKIP,SKIP,liquidity_sweep_reversal,neutral,hostile,hostile,neutral,no,veto,,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,STOP,-1.1,-1.1,STOP_LOSS
3178,2022-01-21 07:00,SKIP,SKIP,SKIP,liquidity_sweep_reversal,hostile,hostile,hostile,hostile,supportive,veto,capit+rsi,nas|demand_supply|risk_sl|exhaustion_top|bull_beta|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3190,2022-01-25 07:00,REVIEW,REVIEW,TAKE,demand_reclaim,hostile,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,nas|bull_beta,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
3219,2022-02-01 03:00,REVIEW,TAKE,TAKE,bottom_reversal_capitulation,supportive,supportive,supportive,supportive,supportive,neutral,nas|demand_supply|risk_sl|exhaustion_top|capit+rsi,,anchor_clean,WIN,2.66,2.66,WIN_HELD
3238,2022-02-04 07:00,REVIEW,TAKE,TAKE,demand_reclaim,neutral,supportive,supportive,neutral,no,hostile,demand_supply|risk_sl,rsi_momentum|devils_advocate,anchor_clean,WIN,2.41,2.41,WIN_HELD
3252,2022-02-08 15:00,SKIP,SKIP,SKIP,bull_pullback_continuation,hostile,hostile,hostile,neutral,no,hostile,,nas|demand_supply|risk_sl|capitulation|bubbles|devils_advocate,FATAL:no_demand_bad_risk,WIN,1.84,1.84,WIN_HELD
3326,2022-02-24 23:00,TAKE,REVIEW,TAKE,liquidity_sweep_reversal,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,rsi_momentum|bubbles|bull_beta,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
3443,2022-03-24 10:00,REVIEW,TAKE,TAKE,bull_pullback_continuation,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
3474,2022-03-31 14:00,REVIEW,TAKE,TAKE,bull_pullback_continuation,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,SCRATCH,0.38,0.38,SCRATCH
3491,2022-04-05 10:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,,anchor_clean,WIN,0.9,0.9,WIN_BE
3509,2022-04-08 10:00,REVIEW,REVIEW,TAKE,bull_pullback_continuation,neutral,supportive,supportive,neutral,no,neutral,demand_supply|risk_sl,bubbles,anchor_clean,WIN,0.9,0.9,WIN_BE
3622,2022-05-06 06:00,REVIEW,REVIEW,SKIP,bear_bounce,neutral,neutral,supportive,neutral,no,hostile,risk_sl,devils_advocate,FATAL:no_anchor_adverse_ctx,STOP,-1.1,-1.1,STOP_LOSS
3678,2022-05-19 14:00,SKIP,SKIP,SKIP,bear_bounce,supportive,hostile,hostile,hostile,no,veto,nas,demand_supply|risk_sl|exhaustion_top|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,0.66,0.66,SCRATCH
3773,2022-06-10 10:00,REVIEW,REVIEW,REVIEW,bottom_reversal_capitulation,neutral,hostile,supportive,supportive,no,neutral,risk_sl|exhaustion_top,demand_supply,no_anchor_partial_support,STOP,-1.1,-1.1,STOP_LOSS
3799,2022-06-16 18:00,SKIP,SKIP,SKIP,bull_pullback_continuation,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3825,2022-06-23 02:00,TAKE,SKIP,SKIP,mid_range_noise,neutral,neutral,neutral,hostile,no,veto,,exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3836,2022-06-26 22:00,SKIP,SKIP,SKIP,mid_range_noise,neutral,hostile,hostile,hostile,no,veto,,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
3929,2022-07-18 10:00,REVIEW,TAKE,TAKE,bottom_reversal_capitulation,supportive,supportive,supportive,neutral,no,hostile,nas|demand_supply|risk_sl,devils_advocate,anchor_clean,STOP,-1.1,-1.1,STOP_LOSS
3949,2022-07-21 18:00,SKIP,REVIEW,SKIP,bottom_reversal_capitulation,supportive,hostile,hostile,neutral,no,hostile,nas,demand_supply|risk_sl|devils_advocate,FATAL:no_demand_bad_risk,WIN,3.54,3.54,WIN_HELD
4095,2022-08-25 02:00,REVIEW,SKIP,SKIP,demand_reclaim,neutral,neutral,hostile,hostile,no,veto,,risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:exhaustion_hostile_no_bottom,STOP,-1.1,-1.1,STOP_LOSS
4243,2022-09-28 18:00,REVIEW,SKIP,SKIP,demand_reclaim,supportive,hostile,hostile,hostile,no,hostile,nas,demand_supply|risk_sl|exhaustion_top|volume_vp|devils_advocate,FATAL:no_demand_bad_risk,SCRATCH,0.18,0.18,SCRATCH
4309,2022-10-13 18:00,TAKE,SKIP,SKIP,bear_bounce,neutral,neutral,hostile,neutral,no,veto,,risk_sl|volume_vp|devils_advocate,FATAL:no_anchor_adverse_ctx,STOP,-1.1,-1.1,STOP_LOSS
