feature,source,timestamp,causal_at_entry,shift_needed,lookahead_risk
smc_bos,84packet,bar_i (4H close),yes,no,REPAINT->usar direcao/recencia
smc_choch,84packet,bar_i (4H close),yes,no,REPAINT->usar direcao/recencia
reclaim_body_atr,84packet,bar_i (4H close),yes,no,low
reclaim_dist_from_demand_atr,84packet,bar_i (4H close),yes,no,low
reclaim_dist_from_supply_atr,84packet,bar_i (4H close),yes,no,low
sl_atr,84packet,bar_i (4H close),yes,no,low
sl_source,84packet,bar_i (4H close),yes,no,low
sl_type,84packet,bar_i (4H close),yes,no,low
F_STRICT_top_late,84packet,bar_i (4H close),yes,no,low
hour_utc,84packet,bar_i (4H close),yes,no,low
dead_hour,84packet,bar_i (4H close),yes,no,low
ext_regime_B_v3_state,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_regime_B_v3_combined_score,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_regime_B_v3_macro_broken,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_regime_B_v3_stage_dir,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_regime_l1_v4,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_daily_slope_20_pct,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
ext_daily_rsi_14,EXTERNAL(daily),D-1 (causal shift),yes(com shift),YES-D1,MITIGADO-por-shift
