plot_id,opaque,lens,recommendation
T13,Y16,volumetry,REVIEW
T13,Y16,risk,REVIEW
T14,Y17,macro,SKIP
T14,Y17,auction,REVIEW
T14,Y17,volumetry,TAKE
T14,Y17,risk,TAKE
T15,Y18,macro,SKIP
T15,Y18,auction,REVIEW
T15,Y18,volumetry,REVIEW
T15,Y18,risk,TAKE
T16,Y19,macro,TAKE
T16,Y19,auction,TAKE
T16,Y19,volumetry,REVIEW
T16,Y19,risk,TAKE
T17,Y20,macro,REVIEW
T17,Y20,auction,REVIEW
T17,Y20,volumetry,REVIEW
T17,Y20,risk,TAKE
T18,Y21,macro,REVIEW
T18,Y21,auction,REVIEW
T18,Y21,volumetry,REVIEW
T18,Y21,risk,REVIEW
T19,Y22,macro,REVIEW
T19,Y22,auction,REVIEW
T19,Y22,volumetry,TAKE
T19,Y22,risk,TAKE
T20,Y23,macro,TAKE
T20,Y23,auction,REVIEW
T20,Y23,volumetry,REVIEW
T20,Y23,risk,TAKE
T23,Y25,macro,TAKE
T23,Y25,auction,REVIEW
T23,Y25,volumetry,TAKE
T23,Y25,risk,REVIEW
T24,Y26,macro,REVIEW
T24,Y26,auction,REVIEW
T24,Y26,volumetry,TAKE
T24,Y26,risk,REVIEW
T25,Y27,macro,TAKE
T25,Y27,auction,TAKE
T25,Y27,volumetry,TAKE
T25,Y27,risk,TAKE
T26,Y28,macro,TAKE
T26,Y28,auction,TAKE
T26,Y28,volumetry,TAKE
T26,Y28,risk,TAKE
T27,Y29,macro,SKIP
T27,Y29,auction,REVIEW
T27,Y29,volumetry,REVIEW
T27,Y29,risk,TAKE
T30,Y40,macro,TAKE
T30,Y40,auction,REVIEW
T30,Y40,volumetry,REVIEW
T30,Y40,risk,TAKE
T32,Y41,macro,TAKE
T32,Y41,auction,TAKE
T32,Y41,volumetry,TAKE
T32,Y41,risk,TAKE
T33,Y42,macro,TAKE
T33,Y42,auction,REVIEW
T33,Y42,volumetry,TAKE
T33,Y42,risk,TAKE
T34,Y44,macro,REVIEW
T34,Y44,auction,REVIEW
T34,Y44,volumetry,REVIEW
T34,Y44,risk,TAKE
T36,Y48,macro,TAKE
T36,Y48,auction,TAKE
T36,Y48,volumetry,TAKE
T36,Y48,risk,TAKE
T40,Y56,macro,TAKE
T40,Y56,auction,TAKE
T40,Y56,volumetry,REVIEW
T40,Y56,risk,TAKE
T42,Y62,macro,REVIEW
T42,Y62,auction,REVIEW
T42,Y62,volumetry,TAKE
T42,Y62,risk,TAKE
