episode_id,plot_id,datetime,old_decision,agg_v1_decision,outcome,realR,exit_type,visual_verdict,policy_decision,setup_family,context_tags,failed_axis,acceptable_missed_winner,causal_predicate,anti_hindsight_ok,protect_reason,block_reason,review_reason,transform_reason,fuel_state,regime_state,timing_state,structure_state,risk_sl_state,supply_demand_state,notes
1151,T8,2020-09-28 18:00,REVIEW,TAKE,SCRATCH,1.1,SCRATCH,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=0 & reclaim=0.26 & dist_supply=None (entrada estrutural ok),true,bom winner recuperacao/continuacao,,,,medio,favoravel,ok,media,sl_atr=2.7/LATE_WIDE,livre,
1298,S7,2020-11-02 07:00,REVIEW,SKIP,WIN,0.9,WIN_BE,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.43 & dist_supply=1.09 (entrada estrutural ok),true,bom winner,,,,fraco,favoravel,ok,media,sl_atr=2.92/NORMAL_DEMAND_BASE,colada,
1353,T9,2020-11-13 11:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,,structure,N/A,has_demand=1 & reclaim=1.34 (estrutura fraca),true,,sem vantagem clara,,,forte,incerto,ok,fraca,sl_atr=3.86/NORMAL_DEMAND_BASE,livre,
1429,T10,2020-12-02 11:00,REVIEW,TAKE,SCRATCH,0.55,SCRATCH,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=-0.98 & dist_supply=4.54 (entrada estrutural ok),true,bom winner,,,,forte,favoravel,ok,media,sl_atr=4.76/NORMAL_DEMAND_BASE,livre,
1661,T11,2021-01-28 11:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,,structure,N/A,has_demand=1 & reclaim=1.26 (estrutura fraca),true,,sem vantagem clara,,,forte,incerto,ok,fraca,sl_atr=2.35/NORMAL_DEMAND_BASE,livre,
1941,S8,2021-04-06 06:00,REVIEW,SKIP,WIN,0.9,WIN_BE,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,false,has_demand=1 & reclaim=-0.74 & dist_supply=2.05 (entrada estrutural ok),true,boa entrada,,,,medio,favoravel,ok,media,sl_atr=1.49/V_REVERSAL_DEMAND,livre,
2100,S9,2021-05-12 18:00,SKIP,SKIP,WIN,1.78,WIN_HELD,REVIEW,REVIEW,,supply_colada|low_fuel,fuel,true,dist_supply_atr=1.78 (espaco-ate-supply baixo na entrada),true,,,winner curto pre-top,,fraco,incerto,ok,media,sl_atr=4.79/NORMAL_DEMAND_BASE,colada,
2110,S10,2021-05-14 10:00,SKIP,SKIP,WIN,1.86,WIN_HELD,REVIEW,REVIEW,,low_fuel,fuel,true,dist_supply_atr=2.09 (espaco-ate-supply baixo na entrada),true,,,winner curto pre-top,,medio,incerto,esticado,media,sl_atr=3.03/NORMAL_DEMAND_BASE,livre,
2364,T12,2021-07-14 02:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,,mixed,N/A,macro_phase=REFERENCE_ONLY & dist_supply=5.21 & legpos90=92.0,true,,loser topo/range ruim,,,forte,incerto,esticado,media,sl_atr=1.88/V_REVERSAL_DEMAND,livre,
2488,T13,2021-08-11 18:00,REVIEW,TAKE,SCRATCH,1.02,SCRATCH,REVIEW,REVIEW,,low_fuel,fuel,N/A,dist_supply_atr=6.2 (espaco-ate-supply baixo na entrada),true,,,winner curto,,forte,incerto,ok,media,sl_atr=3.91/NORMAL_DEMAND_BASE,livre,
2497,T14,2021-08-13 06:00,REVIEW,TAKE,WIN,1.99,WIN_HELD,REVIEW,REVIEW,,low_fuel,fuel,N/A,dist_supply_atr=7.07 (espaco-ate-supply baixo na entrada),true,,,winner curto,,forte,incerto,ok,media,sl_atr=2.59/NORMAL_DEMAND_BASE,livre,
2544,S11,2021-08-25 02:00,REVIEW,SKIP,WIN,0.9,WIN_BE,BLOCK,BLOCK,,supply_colada,mixed,true,macro_phase=REFERENCE_ONLY & dist_supply=1.7 & legpos90=76.0,true,,loser topo/range,,,fraco,incerto,ok,media,sl_atr=2.89/NORMAL_DEMAND_BASE,colada,
2663,T15,2021-09-22 02:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,,mixed,N/A,macro_phase=REFERENCE_ONLY & dist_supply=3.07 & legpos90=38.8,true,,loser topo/range,,,medio,incerto,ok,media,sl_atr=2.99/NORMAL_DEMAND_BASE,livre,
2896,T16,2021-11-15 23:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=97.3 (regime/late-top na entrada),true,,loser excesso/top/range,,,medio,hostil,esticado,media,sl_atr=1.5/V_REVERSAL_DEMAND,livre,
2944,T17,2021-11-26 03:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=23.0 (regime/late-top na entrada),true,,loser,,,forte,hostil,ok,media,sl_atr=3.55/NORMAL_DEMAND_BASE,livre,
3085,T18,2021-12-30 19:00,SKIP,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=91.5 (regime/late-top na entrada),true,,loser,,,forte,hostil,esticado,media,sl_atr=3.94/NORMAL_DEMAND_BASE,livre,
3126,T19,2022-01-10 15:00,REVIEW,TAKE,WIN,2.02,WIN_HELD,REVIEW,REVIEW,,low_fuel,fuel,N/A,dist_supply_atr=3.29 (espaco-ate-supply baixo na entrada),true,,,winner curto nao core,,medio,incerto,ok,media,sl_atr=2.37/NORMAL_DEMAND_BASE,livre,
3190,T20,2022-01-25 07:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,late_top_exhaustion,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=84.4 (regime/late-top na entrada),true,,loser,,,medio,hostil,ok,media,sl_atr=1.14/V_REVERSAL_DEMAND,livre,
3219,T21,2022-02-01 03:00,REVIEW,TAKE,WIN,2.66,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,N/A,has_demand=1 & reclaim=0.55 & dist_supply=6.72 (entrada estrutural ok),true,bom winner,,,,forte,favoravel,ok,media,sl_atr=3.25/NORMAL_DEMAND_BASE,livre,
3238,T22,2022-02-04 07:00,REVIEW,TAKE,WIN,2.41,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,N/A,has_demand=1 & reclaim=0.99 & dist_supply=5.21 (entrada estrutural ok),true,bom winner,,,,forte,favoravel,ok,media,sl_atr=3.91/NORMAL_DEMAND_BASE,livre,
3252,S12,2022-02-08 15:00,SKIP,SKIP,WIN,1.84,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,false,has_demand=1 & reclaim=0.88 & dist_supply=2.75 (entrada estrutural ok),true,bom winner,,,,medio,favoravel,ok,media,sl_atr=5.89/LATE_WIDE,livre,
3443,T23,2022-03-24 10:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,,mixed,N/A,macro_phase=REFERENCE_ONLY & dist_supply=4.37 & legpos90=33.3,true,,loser claro,,,forte,incerto,ok,media,sl_atr=4.27/NORMAL_DEMAND_BASE,livre,
3474,T24,2022-03-31 14:00,REVIEW,TAKE,SCRATCH,0.38,SCRATCH,BLOCK,BLOCK,,,mixed,N/A,macro_phase=REFERENCE_ONLY & dist_supply=4.82 & legpos90=47.5,true,,loser claro,,,forte,incerto,ok,media,sl_atr=5.08/NORMAL_DEMAND_BASE,livre,
3491,T25,2022-04-05 10:00,REVIEW,TAKE,WIN,0.9,WIN_BE,BLOCK,BLOCK,,bear_continuation|bear_bounce,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=68.5 (regime/late-top na entrada),true,,"winner curto pullback bear, aceitavel perder",,,forte,hostil,ok,media,sl_atr=2.86/NORMAL_DEMAND_BASE,livre,
3509,T26,2022-04-08 10:00,REVIEW,TAKE,WIN,0.9,WIN_BE,BLOCK,BLOCK,,bear_continuation|bear_bounce,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=65.0 (regime/late-top na entrada),true,,"winner curto pullback bear, aceitavel perder",,,forte,hostil,ok,media,sl_atr=2.81/NORMAL_DEMAND_BASE,livre,
3929,T27,2022-07-18 10:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,TRANSFORM,REVIEW,bottom_reversal,supply_colada,timing,N/A,reclaim_body=-0.31 & legpos90=15.1 (entrada antes do reclaim/esticada),true,,,,"tese fundo ok, entrada errada (S13 = certa)",fraco,incerto,cedo,media,sl_atr=2.06/V_REVERSAL_DEMAND,colada,
3949,S13,2022-07-21 18:00,SKIP,SKIP,WIN,3.54,WIN_HELD,PROTECT,TAKE_CANDIDATE,bottom_reversal,supply_colada,none,false,has_demand=0 & reclaim=0.48 & dist_supply=1.93 (entrada estrutural ok),true,entrada correta que T27 deveria ter sido,,,,fraco,favoravel,ok,media,sl_atr=1.53/LATE_WIDE,colada,
4384,S14,2022-11-01 06:00,SKIP,SKIP,WIN,2.75,WIN_HELD,TRANSFORM,REVIEW,bottom_reversal,supply_colada,timing,false,reclaim_body=1.06 & legpos90=49.9 (entrada antes do reclaim/esticada),true,,,,"precipitada, conceito certo, esperar reclaim/estrutura",fraco,incerto,cedo,media,sl_atr=4.19/NORMAL_DEMAND_BASE,colada,
4401,S15,2022-11-04 02:00,REVIEW,SKIP,WIN,2.76,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=1.3 & dist_supply=0.27 (entrada estrutural ok),true,big winner,,,,fraco,favoravel,ok,media,sl_atr=3.09/NORMAL_DEMAND_BASE,colada,
4483,S16,2022-11-23 19:00,SKIP,SKIP,WIN,1.82,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.68 & dist_supply=1.36 (entrada estrutural ok),true,big winner,,,,fraco,favoravel,ok,media,sl_atr=2.13/LATE_WIDE,colada,
4530,T28,2022-12-05 19:00,REVIEW,TAKE,WIN,1.28,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=0.18 & dist_supply=3.29 (entrada estrutural ok),true,big winner continuacao,,,,medio,favoravel,ok,media,sl_atr=2.41/NORMAL_DEMAND_BASE,livre,
4644,S17,2023-01-03 19:00,SKIP,SKIP,WIN,2.17,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.06 & dist_supply=0.81 (entrada estrutural ok),true,bom winner bull move,,,,fraco,favoravel,esticado,media,sl_atr=2.77/NORMAL_DEMAND_BASE,colada,
4677,S18,2023-01-11 07:00,SKIP,SKIP,WIN,2.05,WIN_HELD,REVIEW,REVIEW,,,timing,true,reclaim_body=0.53 & legpos90=98.2 (entrada antes do reclaim/esticada),true,,,entrada tardia winner curto nao core,,medio,incerto,esticado,media,sl_atr=2.32/NORMAL_DEMAND_BASE,livre,
5627,S19,2023-08-22 14:00,REVIEW,SKIP,WIN,1.96,WIN_HELD,UNCLASSIFIED,REVIEW,,supply_colada,,,has_demand=1 & reclaim=1.02 & dist_supply=0.85 (entrada estrutural ok),true,,,,,fraco,incerto,ok,media,sl_atr=1.89/LATE_WIDE,colada,
5842,S20,2023-10-11 10:00,SKIP,SKIP,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,demand_reclaim,supply_colada,none,false,has_demand=1 & reclaim=0.25 & dist_supply=0.18 (entrada estrutural ok),true,bom winner,,,,fraco,favoravel,ok,media,sl_atr=2.94/NORMAL_DEMAND_BASE,colada,
5866,S21,2023-10-17 10:00,SKIP,SKIP,WIN,2.7,WIN_HELD,REVIEW,REVIEW,,supply_colada|low_fuel,fuel,true,dist_supply_atr=1.18 (espaco-ate-supply baixo na entrada),true,,,winner curto proximo topo,,fraco,incerto,esticado,media,sl_atr=1.95/TOP_EXHAUSTION,colada,
5998,T29,2023-11-16 11:00,REVIEW,TAKE,WIN,2.0,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,N/A,has_demand=1 & reclaim=1.67 & dist_supply=2.62 (entrada estrutural ok),true,bom winner,,,,medio,favoravel,ok,media,sl_atr=2.87/NORMAL_DEMAND_BASE,livre,
6049,S22,2023-11-29 03:00,SKIP,SKIP,WIN,0.9,WIN_BE,REVIEW,REVIEW,,low_fuel,fuel,true,dist_supply_atr=None (espaco-ate-supply baixo na entrada),true,,,winner curto proximo topo,,medio,incerto,esticado,media,sl_atr=4.04/TOP_EXHAUSTION,livre,
6193,T30,2024-01-04 03:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,BLOCK,BLOCK,,bear_continuation,regime,N/A,macro_phase=REFERENCE_ONLY & legpos90=64.3 (regime/late-top na entrada),true,,entrada topo de pullback em bear/range,,,medio,hostil,ok,media,sl_atr=2.03/V_REVERSAL_DEMAND,livre,
6376,T31,2024-02-15 15:00,REVIEW,TAKE,WIN,1.89,WIN_HELD,PROTECT,TAKE_CANDIDATE,demand_reclaim,,none,N/A,has_demand=1 & reclaim=0.09 & dist_supply=2.23 (entrada estrutural ok),true,excelente demand_reclaim/bull continuation,,,,medio,favoravel,ok,media,sl_atr=2.46/NORMAL_DEMAND_BASE,livre,
6610,T32,2024-04-11 14:00,SKIP,TAKE,STOP,-1.1,STOP_LOSS,REVIEW,REVIEW,,late_top_exhaustion|low_fuel,fuel,N/A,dist_supply_atr=None (espaco-ate-supply baixo na entrada),true,,,winner curto topo esticado,,medio,incerto,esticado,media,sl_atr=2.26/NORMAL_DEMAND_BASE,livre,
6729,T33,2024-05-09 10:00,REVIEW,TAKE,WIN,1.69,WIN_HELD,REVIEW,REVIEW,,supply_colada,mixed,N/A,macro_phase=REFERENCE_ONLY & dist_supply=1.73 & legpos90=33.6,true,,,estrutura aceitavel nao limpa,,fraco,incerto,ok,media,sl_atr=1.94/V_REVERSAL_DEMAND,colada,
6741,S23,2024-05-13 10:00,REVIEW,SKIP,WIN,0.9,WIN_BE,REVIEW,REVIEW,,supply_colada,mixed,true,macro_phase=REFERENCE_ONLY & dist_supply=1.51 & legpos90=66.2,true,,,estrutura aceitavel nao limpa,,fraco,incerto,ok,media,sl_atr=2.81/NORMAL_DEMAND_BASE,colada,
6887,T34,2024-06-14 18:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,UNCLASSIFIED,REVIEW,,,,N/A,has_demand=1 & reclaim=-0.11 & dist_supply=3.28 (entrada estrutural ok),true,,,,,medio,incerto,ok,media,sl_atr=3.0/NORMAL_DEMAND_BASE,livre,
6954,T35,2024-07-01 22:00,REVIEW,TAKE,WIN,3.9,WIN_RUNNER,UNCLASSIFIED,REVIEW,,,,N/A,has_demand=1 & reclaim=0.18 & dist_supply=2.56 (entrada estrutural ok),true,,,,,medio,incerto,ok,media,sl_atr=1.92/V_REVERSAL_DEMAND,livre,
6962,S24,2024-07-03 06:00,SKIP,SKIP,WIN,3.16,WIN_HELD,UNCLASSIFIED,REVIEW,,supply_colada,,,has_demand=1 & reclaim=1.3 & dist_supply=0.97 (entrada estrutural ok),true,,,,,fraco,incerto,ok,media,sl_atr=2.86/NORMAL_DEMAND_BASE,colada,
7149,S25,2024-08-15 10:00,REVIEW,SKIP,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-0.89 & dist_supply=1.59 (entrada estrutural ok),true,boa entrada bull pos-acumulacao,,,,fraco,favoravel,ok,media,sl_atr=0.58/V_REVERSAL_DEMAND,colada,
7232,S26,2024-09-04 06:00,REVIEW,SKIP,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-1.12 & dist_supply=1.14 (entrada estrutural ok),true,boa entrada bull pos-acumulacao,,,,fraco,favoravel,ok,media,sl_atr=0.92/NORMAL_DEMAND_BASE,colada,
8095,T36,2025-03-27 06:00,REVIEW,TAKE,WIN,0.9,WIN_BE,UNCLASSIFIED,REVIEW,,,,N/A,has_demand=1 & reclaim=0.82 & dist_supply=None (entrada estrutural ok),true,,,,,medio,incerto,esticado,media,sl_atr=2.34/NORMAL_DEMAND_BASE,livre,
8149,T37,2025-04-09 06:00,REVIEW,TAKE,WIN,2.48,WIN_HELD,UNCLASSIFIED,REVIEW,,,,N/A,has_demand=1 & reclaim=0.92 & dist_supply=2.37 (entrada estrutural ok),true,,,,,medio,incerto,ok,media,sl_atr=2.86/NORMAL_DEMAND_BASE,livre,
8357,S27,2025-05-28 22:00,REVIEW,SKIP,WIN,1.78,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-0.99 & dist_supply=1.58 (entrada estrutural ok),true,bom winner acumulacao alta,,,,fraco,favoravel,ok,media,sl_atr=2.65/NORMAL_DEMAND_BASE,colada,
8544,S28,2025-07-11 06:00,REVIEW,SKIP,WIN,1.01,WIN_HELD,REVIEW,REVIEW,,low_fuel,fuel,true,dist_supply_atr=2.22 (espaco-ate-supply baixo na entrada),true,,,winner curto range alto; se correr vira loser,,medio,incerto,ok,media,sl_atr=2.22/NORMAL_DEMAND_BASE,livre,
8635,T38,2025-08-01 10:00,REVIEW,TAKE,SCRATCH,-0.19,SCRATCH,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=2.27 & dist_supply=3.75 (entrada estrutural ok),true,boa entrada pre-bullrun big winner,,,,medio,favoravel,ok,media,sl_atr=3.63/NORMAL_DEMAND_BASE,livre,
8765,S29,2025-09-02 02:00,SKIP,SKIP,WIN,1.95,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=-0.27 & dist_supply=None (entrada estrutural ok),true,excelente bull-run,,,,medio,favoravel,esticado,media,sl_atr=5.5/TOP_EXHAUSTION,livre,
8823,S30,2025-09-15 18:00,SKIP,SKIP,WIN,2.05,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=-0.19 & dist_supply=None (entrada estrutural ok),true,excelente bull-run,,,,medio,favoravel,esticado,media,sl_atr=4.39/NORMAL_DEMAND_BASE,livre,
8878,T39,2025-09-28 22:00,REVIEW,TAKE,WIN,3.24,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=0.85 & dist_supply=None (entrada estrutural ok),true,excelente bull-run,,,,medio,favoravel,esticado,media,sl_atr=2.74/NORMAL_DEMAND_BASE,livre,
8893,S31,2025-10-01 10:00,SKIP,SKIP,WIN,2.83,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=-0.57 & dist_supply=None (entrada estrutural ok),true,boa bull-run,,,,medio,favoravel,esticado,media,sl_atr=2.96/NORMAL_DEMAND_BASE,livre,
8905,S32,2025-10-03 10:00,REVIEW,SKIP,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=0.76 & dist_supply=None (entrada estrutural ok),true,boa bull-run,,,,medio,favoravel,esticado,media,sl_atr=2.73/NORMAL_DEMAND_BASE,livre,
8923,S33,2025-10-08 10:00,SKIP,SKIP,WIN,0.9,WIN_BE,BLOCK,BLOCK,,,mixed,true,macro_phase=REFERENCE_ONLY & dist_supply=None & legpos90=97.2,true,,loser entrada pior no contexto,,,medio,incerto,esticado,media,sl_atr=4.14/TOP_EXHAUSTION,livre,
8940,S34,2025-10-13 06:00,SKIP,SKIP,WIN,0.9,WIN_BE,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,false,has_demand=1 & reclaim=0.33 & dist_supply=None (entrada estrutural ok),true,boa bull-run,,,,medio,favoravel,esticado,media,sl_atr=3.34/NORMAL_DEMAND_BASE,livre,
9081,T40,2025-11-13 19:00,REVIEW,TAKE,STOP,-1.1,STOP_LOSS,TRANSFORM,REVIEW,bull_pullback_continuation,,timing,N/A,reclaim_body=0.38 & legpos90=79.4 (entrada antes do reclaim/esticada),true,,,,precipitada acumulacao bull/pre-bullrun (S35 = melhor depois),forte,incerto,cedo,media,sl_atr=2.22/NORMAL_DEMAND_BASE,livre,
9199,T41,2025-12-11 11:00,REVIEW,TAKE,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,,none,N/A,has_demand=1 & reclaim=0.54 & dist_supply=5.22 (entrada estrutural ok),true,excelente pre-bullrun,,,,forte,favoravel,esticado,media,sl_atr=2.1/V_REVERSAL_DEMAND,livre,
9215,S35,2025-12-16 03:00,TAKE,SKIP,WIN,3.9,WIN_RUNNER,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-0.03 & dist_supply=1.37 (entrada estrutural ok),true,melhor entrada posterior / pre-bullrun,,,,fraco,favoravel,ok,media,sl_atr=1.08/V_REVERSAL_DEMAND,colada,
9297,S36,2026-01-06 23:00,SKIP,SKIP,WIN,1.97,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-0.64 & dist_supply=1.35 (entrada estrutural ok),true,excelente pre-bullrun/bull-run,,,,fraco,favoravel,ok,media,sl_atr=5.04/NORMAL_DEMAND_BASE,colada,
9304,S37,2026-01-08 03:00,SKIP,SKIP,WIN,2.45,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=-0.24 & dist_supply=1.09 (entrada estrutural ok),true,excelente,,,,fraco,favoravel,ok,media,sl_atr=3.86/NORMAL_DEMAND_BASE,colada,
9314,S38,2026-01-09 19:00,SKIP,SKIP,WIN,3.16,WIN_HELD,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,supply_colada,none,false,has_demand=1 & reclaim=0.48 & dist_supply=0.34 (entrada estrutural ok),true,excelente,,,,fraco,favoravel,esticado,media,sl_atr=3.63/NORMAL_DEMAND_BASE,colada,
9368,S39,2026-01-22 19:00,SKIP,SKIP,WIN,0.9,WIN_BE,PROTECT,TAKE_CANDIDATE,bull_pullback_continuation,low_fuel,fuel,false,dist_supply_atr=None (espaco-ate-supply baixo na entrada),true,"PROTECT com ressalva: mais alta, menor convexidade (fuel)",,,,medio,favoravel,esticado,media,sl_atr=3.45/TOP_EXHAUSTION,livre,
