plot_id,set,datetime,leg_state,liquidity_state,context_family,confidence,supports,conflicts,reason_codes,feature_values,market_interpretation,prior_layers_used,prior_layers_conflicts,provenance_ok,final_verdict,macro_v1_family
S26,A,2024-09-04,BEAR_PULLBACK_TO_SUPPLY,SWEEP_AND_RECLAIM,RISK,high,LH+LL|bounce|sell_sweep+reclaim,,LH+LL|bounce|sell_sweep+reclaim,n_SH=9;n_SL=9;last_SH=2506.1;last_SL=2473.1;price=2481.6;HH=False;HL=False;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BEAR_PULLBACK_TO_SUPPLY; liq=SWEEP_AND_RECLAIM; contexto=RISK,,,pivots_causal+smc_causal,PROTECT,RISK
S27,A,2025-05-28,BEAR_LEG_LH_LL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,LH+LL|buy_side_sweep_rejection,bear-leg+near-demand=TRAP(nao-suporte),LH+LL|buy_side_sweep_rejection,n_SH=8;n_SL=7;last_SH=3325.5;last_SL=3285.1;price=3263.7;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=False,leg=BEAR_LEG_LH_LL; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,PROTECT,RISK
S29,A,2025-09-02,BULL_LEG_HH_HL,NO_CLEAR_SWEEP,BULL,high,HH+HL|no_sweep,,HH+HL|no_sweep,n_SH=11;n_SL=8;last_SH=3489.9;last_SL=3404.2;price=3493.1;HH=True;HL=True;buy_sweep=False;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=NO_CLEAR_SWEEP; contexto=BULL,bull-leg+CLEAN_SKY+momentum=bom,,pivots_causal+smc_causal,PROTECT,BULL
S30,A,2025-09-15,RANGE_TRANSITION,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,low,HL_sem_HH|buy_side_sweep_rejection,,HL_sem_HH|buy_side_sweep_rejection,n_SH=8;n_SL=6;last_SH=3656.7;last_SL=3626.5;price=3678.9;HH=False;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=RANGE_TRANSITION; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,,pivots_causal+smc_causal,PROTECT,BULL
S31,A,2025-10-01,BULL_LEG_HH_HL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|buy_side_sweep_rejection,n_SH=6;n_SL=5;last_SH=3871.7;last_SL=3793.1;price=3872.9;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,PROTECT,BULL
S32,A,2025-10-03,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=7;n_SL=6;last_SH=3896.9;last_SL=3819.1;price=3882.6;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,PROTECT,BULL
S34,A,2025-10-13,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=6;n_SL=8;last_SH=4057.9;last_SL=3944.5;price=4077.2;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,PROTECT,BULL
S35,A,2025-12-16,RANGE_TRANSITION,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,low,HL_sem_HH|buy_side_sweep_rejection,,HL_sem_HH|buy_side_sweep_rejection,n_SH=8;n_SL=7;last_SH=4350.4;last_SL=4257.3;price=4289.1;HH=False;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=RANGE_TRANSITION; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,,pivots_causal+smc_causal,PROTECT,BULL
S36,A,2026-01-06,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=6;n_SL=6;last_SH=4404.3;last_SL=4309.7;price=4474.8;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,,,pivots_causal+smc_causal,PROTECT,BULL
S37,A,2026-01-08,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=7;n_SL=6;last_SH=4500.7;last_SL=4309.7;price=4433.4;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,,,pivots_causal+smc_causal,PROTECT,BULL
S38,A,2026-01-09,BULL_LEG_HH_HL,SWEEP_AND_RECLAIM,BULL,high,HH+HL|sell_sweep+reclaim,,HH+HL|sell_sweep+reclaim,n_SH=5;n_SL=6;last_SH=4500.7;last_SL=4407.5;price=4510.0;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_LEG_HH_HL; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|bull-leg+supply_broken=markup|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,PROTECT,BULL
T2,B,2020-01-30,BULL_PULLBACK_WITH_HL_INTACT,NO_CLEAR_SWEEP,BULL,high,HH+HL|HL_intacto|pullback|no_sweep,,HH+HL|HL_intacto|pullback|no_sweep,n_SH=5;n_SL=6;last_SH=1588.5;last_SL=1563.4;price=1572.3;HH=True;HL=True;buy_sweep=False;sell_sweep=False;reclaim=False,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=NO_CLEAR_SWEEP; contexto=BULL,bull-leg+demand_defended=suporte,,pivots_causal+smc_causal,BLOCK,BULL
T3,B,2020-02-25,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=7;n_SL=7;last_SH=1689.3;last_SL=1633.1;price=1640.2;HH=True;HL=True;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,,,pivots_causal+smc_causal,BLOCK,BULL
T4,B,2020-03-09,BULL_LEG_HH_HL,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH+HL|buy_side_sweep_rejection,bull-leg MAS buy-sweep=late-top-risco,HH+HL|buy_side_sweep_rejection,n_SH=6;n_SL=7;last_SH=1652.7;last_SL=1641.9;price=1665.1;HH=True;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom,bull-leg MAS buy-sweep=late-top-risco,pivots_causal+smc_causal,BLOCK,BULL
T9,B,2020-11-13,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=10;n_SL=7;last_SH=1883.8;last_SL=1856.5;price=1891.3;HH=False;HL=True;buy_sweep=False;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,BLOCK,RISK
T11,B,2021-01-28,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=9;n_SL=11;last_SH=1853.2;last_SL=1831.3;price=1854.6;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,BLOCK,RISK
T12,B,2021-07-14,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=8;n_SL=9;last_SH=1817.2;last_SL=1798.6;price=1812.9;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,BLOCK,RISK
T15,B,2021-09-22,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=10;n_SL=9;last_SH=1781.7;last_SL=1757.9;price=1777.8;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,BLOCK,RISK
T16,B,2021-11-15,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=9;n_SL=9;last_SH=1870.5;last_SL=1856.3;price=1867.5;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,BLOCK,BULL
T17,B,2021-11-26,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=10;n_SL=8;last_SH=1795.1;last_SL=1778.5;price=1801.2;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,BLOCK,RISK
T18,B,2021-12-30,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=6;n_SL=10;last_SH=1820.2;last_SL=1796.2;price=1814.5;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom|sweep+reclaim+demand=reversal-possivel,,pivots_causal+smc_causal,BLOCK,BULL
T20,B,2022-01-25,BULL_PULLBACK_WITH_HL_INTACT,SWEEP_AND_RECLAIM,BULL,high,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,,HH+HL|HL_intacto|pullback|sell_sweep+reclaim,n_SH=9;n_SL=11;last_SH=1844.3;last_SL=1829.7;price=1837.8;HH=True;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BULL_PULLBACK_WITH_HL_INTACT; liq=SWEEP_AND_RECLAIM; contexto=BULL,,,pivots_causal+smc_causal,BLOCK,BULL
T23,B,2022-03-24,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=5;n_SL=8;last_SH=1941.2;last_SL=1910.7;price=1953.5;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,BLOCK,BULL
T24,B,2022-03-31,RANGE_TRANSITION,SWEEP_AND_RECLAIM,NEUTRO,low,HL_sem_HH|sell_sweep+reclaim,,HL_sem_HH|sell_sweep+reclaim,n_SH=4;n_SL=8;last_SH=1938.5;last_SL=1919.2;price=1945.1;HH=False;HL=True;buy_sweep=True;sell_sweep=True;reclaim=True,leg=RANGE_TRANSITION; liq=SWEEP_AND_RECLAIM; contexto=NEUTRO,,,pivots_causal+smc_causal,BLOCK,BULL
T25,B,2022-04-05,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),LH+LL|sell_sweep+reclaim,n_SH=6;n_SL=7;last_SH=1936.9;last_SL=1915.4;price=1942.2;HH=False;HL=False;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,BLOCK,BULL
T26,B,2022-04-08,CORRECTIVE_BEAR_LEG,SWEEP_AND_RECLAIM,RISK,high,HH_mas_LL=correcao|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),HH_mas_LL=correcao|sell_sweep+reclaim,n_SH=7;n_SL=6;last_SH=1937.8;last_SL=1915.1;price=1939.5;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=CORRECTIVE_BEAR_LEG; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte)|bear-leg+CLEAN_SKY=relief(nao-basta),pivots_causal+smc_causal,BLOCK,BULL
T30,B,2024-01-04,CORRECTIVE_BEAR_LEG,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,high,HH_mas_LL=correcao|buy_side_sweep_rejection,bear-leg+near-demand=TRAP(nao-suporte),HH_mas_LL=correcao|buy_side_sweep_rejection,n_SH=9;n_SL=4;last_SH=2078.9;last_SL=2055.8;price=2047.3;HH=True;HL=False;buy_sweep=True;sell_sweep=True;reclaim=False,leg=CORRECTIVE_BEAR_LEG; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,BLOCK,BULL
T40,B,2025-11-13,BULL_LEG_HH_HL,NO_CLEAR_SWEEP,BULL,high,HH+HL|no_sweep,,HH+HL|no_sweep,n_SH=5;n_SL=7;last_SH=4149.0;last_SL=4096.9;price=4171.3;HH=True;HL=True;buy_sweep=False;sell_sweep=False;reclaim=False,leg=BULL_LEG_HH_HL; liq=NO_CLEAR_SWEEP; contexto=BULL,bull-leg+demand_defended=suporte|bull-leg+CLEAN_SKY+momentum=bom,,pivots_causal+smc_causal,BLOCK,BULL
T42,B,2026-04-17,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),LH+LL|sell_sweep+reclaim,n_SH=8;n_SL=10;last_SH=4838.3;last_SL=4767.5;price=4862.6;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,BLOCK,BULL
S9,C,2021-05-12,RANGE_TRANSITION,LIQUIDITY_GRAB_REVERSAL_RISK,RISK,low,HL_sem_HH|buy_side_sweep_rejection,,HL_sem_HH|buy_side_sweep_rejection,n_SH=9;n_SL=8;last_SH=1841.8;last_SL=1818.0;price=1815.4;HH=False;HL=True;buy_sweep=True;sell_sweep=False;reclaim=False,leg=RANGE_TRANSITION; liq=LIQUIDITY_GRAB_REVERSAL_RISK; contexto=RISK,,,pivots_causal+smc_causal,REVIEW,RISK
S10,C,2021-05-14,BEAR_LEG_LH_LL,SWEEP_AND_RECLAIM,RISK,high,LH+LL|sell_sweep+reclaim,bear-leg+near-demand=TRAP(nao-suporte),LH+LL|sell_sweep+reclaim,n_SH=9;n_SL=7;last_SH=1828.7;last_SL=1808.8;price=1838.7;HH=False;HL=False;buy_sweep=False;sell_sweep=True;reclaim=True,leg=BEAR_LEG_LH_LL; liq=SWEEP_AND_RECLAIM; contexto=RISK,sweep+reclaim+demand=reversal-possivel,bear-leg+near-demand=TRAP(nao-suporte),pivots_causal+smc_causal,REVIEW,BULL
S14,C,2022-11-01,BEAR_PULLBACK_TO_SUPPLY,SWEEP_AND_RECLAIM,RISK,high,LH+LL|bounce|sell_sweep+reclaim,,LH+LL|bounce|sell_sweep+reclaim,n_SH=8;n_SL=9;last_SH=1667.0;last_SL=1638;price=1650.5;HH=False;HL=False;buy_sweep=True;sell_sweep=True;reclaim=True,leg=BEAR_PULLBACK_TO_SUPPLY; liq=SWEEP_AND_RECLAIM; contexto=RISK,,,pivots_causal+smc_causal,TRANSFORM,RISK
