episode_id,context_label,demand_supply,capitulation,exhaustion_top,volume_vp,nas,bubbles,rsi_momentum,risk_sl,bull_beta,devils_advocate
2034,bear_bounce,hostile,neutral,neutral,neutral,neutral,neutral,neutral,hostile,hostile,veto
2053,demand_reclaim,neutral,neutral,neutral,hostile,neutral,supportive,neutral,supportive,neutral,hostile
2100,mid_range_noise,hostile,supportive,neutral,neutral,neutral,supportive,hostile,hostile,neutral,hostile
2110,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,hostile,supportive,supportive,hostile,hostile
2174,late_top_exhaustion,supportive,neutral,neutral,hostile,hostile,supportive,supportive,supportive,hostile,hostile
2188,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,neutral,neutral,hostile,hostile,veto
2204,bear_bounce,hostile,neutral,hostile,neutral,supportive,supportive,supportive,hostile,neutral,veto
2222,bottom_reversal_capitulation,hostile,supportive,neutral,supportive,neutral,neutral,neutral,hostile,neutral,hostile
2320,demand_reclaim,supportive,neutral,neutral,neutral,supportive,supportive,supportive,supportive,supportive,neutral
2364,bull_pullback_continuation,supportive,neutral,neutral,hostile,hostile,supportive,supportive,supportive,hostile,hostile
2372,late_top_exhaustion,supportive,neutral,hostile,supportive,hostile,hostile,hostile,hostile,hostile,veto
2428,mid_range_noise,hostile,neutral,neutral,neutral,neutral,neutral,supportive,hostile,neutral,hostile
2488,bottom_reversal_capitulation,supportive,supportive,neutral,hostile,supportive,supportive,supportive,supportive,neutral,neutral
2497,demand_reclaim,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,supportive,neutral
2544,demand_reclaim,hostile,neutral,hostile,hostile,hostile,hostile,neutral,hostile,neutral,hostile
2663,demand_reclaim,supportive,neutral,neutral,hostile,neutral,supportive,supportive,supportive,supportive,neutral
2705,demand_reclaim,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
2737,demand_reclaim,hostile,neutral,hostile,neutral,neutral,supportive,supportive,hostile,neutral,veto
2747,demand_reclaim,supportive,neutral,neutral,hostile,neutral,neutral,neutral,supportive,neutral,hostile
2859,late_top_exhaustion,hostile,neutral,hostile,hostile,hostile,supportive,supportive,hostile,hostile,veto
2896,bull_pullback_continuation,supportive,hostile,neutral,hostile,hostile,hostile,supportive,supportive,hostile,hostile
2905,bull_pullback_continuation,hostile,neutral,hostile,neutral,hostile,supportive,neutral,hostile,hostile,veto
2922,demand_reclaim,neutral,supportive,neutral,neutral,neutral,neutral,neutral,supportive,hostile,hostile
2944,bottom_reversal_capitulation,supportive,neutral,supportive,hostile,supportive,supportive,supportive,supportive,neutral,neutral
2991,demand_reclaim,neutral,neutral,neutral,hostile,neutral,neutral,supportive,hostile,supportive,hostile
3011,demand_reclaim,neutral,neutral,hostile,neutral,neutral,neutral,supportive,hostile,supportive,hostile
3029,bull_pullback_continuation,hostile,neutral,hostile,neutral,supportive,supportive,supportive,hostile,neutral,veto
3070,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,supportive,supportive,supportive,hostile,hostile
3085,bull_pullback_continuation,supportive,neutral,neutral,hostile,hostile,supportive,supportive,supportive,hostile,hostile
3102,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,neutral,supportive,neutral,hostile,neutral,hostile
3118,bottom_reversal_capitulation,neutral,neutral,supportive,neutral,neutral,supportive,neutral,supportive,supportive,neutral
3126,demand_reclaim,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral
3147,bull_pullback_continuation,supportive,hostile,hostile,hostile,hostile,supportive,supportive,supportive,hostile,hostile
3162,liquidity_sweep_reversal,hostile,supportive,neutral,neutral,neutral,supportive,neutral,hostile,neutral,veto
3178,liquidity_sweep_reversal,hostile,supportive,hostile,supportive,hostile,supportive,supportive,hostile,hostile,veto
3190,demand_reclaim,supportive,neutral,neutral,neutral,hostile,neutral,supportive,supportive,hostile,neutral
3219,bottom_reversal_capitulation,supportive,supportive,supportive,neutral,supportive,neutral,supportive,supportive,supportive,neutral
3238,demand_reclaim,supportive,neutral,neutral,neutral,neutral,supportive,hostile,supportive,supportive,hostile
3252,bull_pullback_continuation,hostile,hostile,neutral,neutral,hostile,hostile,supportive,hostile,neutral,hostile
3326,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,neutral,hostile,hostile,supportive,hostile,neutral
3443,bull_pullback_continuation,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,neutral,neutral
3474,bull_pullback_continuation,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
3491,bull_pullback_continuation,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral
3509,bull_pullback_continuation,supportive,neutral,neutral,neutral,neutral,hostile,supportive,supportive,neutral,neutral
3622,bear_bounce,neutral,neutral,neutral,neutral,neutral,supportive,neutral,supportive,supportive,hostile
3678,bear_bounce,hostile,neutral,hostile,neutral,supportive,supportive,supportive,hostile,supportive,veto
3773,bottom_reversal_capitulation,hostile,supportive,supportive,supportive,neutral,supportive,neutral,supportive,supportive,neutral
3799,bull_pullback_continuation,hostile,neutral,hostile,hostile,neutral,neutral,supportive,hostile,neutral,veto
3825,mid_range_noise,neutral,neutral,hostile,hostile,neutral,supportive,neutral,neutral,neutral,veto
3836,mid_range_noise,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
3929,bottom_reversal_capitulation,supportive,neutral,neutral,neutral,supportive,supportive,supportive,supportive,supportive,hostile
3949,bottom_reversal_capitulation,hostile,neutral,neutral,neutral,supportive,supportive,supportive,hostile,supportive,hostile
4095,demand_reclaim,neutral,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
4243,demand_reclaim,hostile,neutral,hostile,hostile,supportive,supportive,supportive,hostile,neutral,hostile
4309,bear_bounce,neutral,neutral,neutral,hostile,neutral,supportive,supportive,hostile,neutral,veto
4346,bear_bounce,hostile,neutral,hostile,neutral,neutral,supportive,supportive,hostile,supportive,veto
4372,bear_bounce,supportive,supportive,neutral,supportive,neutral,supportive,neutral,supportive,supportive,hostile
4384,demand_reclaim,hostile,neutral,neutral,neutral,neutral,supportive,supportive,hostile,supportive,hostile
4401,demand_reclaim,hostile,neutral,hostile,hostile,neutral,supportive,hostile,hostile,neutral,veto
4429,late_top_exhaustion,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
4483,mid_range_noise,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,hostile,hostile
4513,bull_pullback_continuation,hostile,neutral,hostile,neutral,hostile,supportive,supportive,hostile,hostile,veto
4530,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,hostile,supportive,neutral,supportive,neutral,neutral
4574,demand_reclaim,neutral,neutral,neutral,neutral,neutral,supportive,neutral,supportive,neutral,hostile
4609,liquidity_sweep_reversal,hostile,supportive,neutral,hostile,neutral,supportive,neutral,supportive,neutral,neutral
4644,bull_pullback_continuation,hostile,neutral,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,veto
4677,bull_pullback_continuation,supportive,hostile,hostile,neutral,hostile,hostile,supportive,supportive,hostile,hostile
4763,mid_range_noise,neutral,neutral,hostile,neutral,neutral,supportive,supportive,hostile,hostile,hostile
4899,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,supportive,supportive,supportive,supportive,neutral
4908,mid_range_noise,neutral,neutral,hostile,neutral,hostile,neutral,review_flag,supportive,neutral,neutral
4918,bottom_reversal_capitulation,supportive,supportive,supportive,neutral,supportive,supportive,supportive,supportive,supportive,hostile
4926,mid_range_noise,neutral,supportive,neutral,neutral,neutral,supportive,supportive,hostile,neutral,hostile
4964,late_top_exhaustion,supportive,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
4996,bottom_reversal_capitulation,supportive,supportive,neutral,supportive,hostile,supportive,neutral,supportive,neutral,neutral
5016,bull_pullback_continuation,neutral,neutral,hostile,hostile,hostile,neutral,supportive,hostile,hostile,hostile
5042,late_top_exhaustion,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
5055,mid_range_noise,supportive,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,hostile
5087,mid_range_noise,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,veto
5103,mid_range_noise,supportive,supportive,neutral,supportive,neutral,supportive,neutral,supportive,supportive,hostile
5147,mid_range_noise,neutral,neutral,hostile,neutral,neutral,hostile,supportive,supportive,neutral,neutral
5165,mid_range_noise,hostile,supportive,hostile,neutral,hostile,hostile,hostile,neutral,neutral,neutral
5296,mid_range_noise,neutral,supportive,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
5321,bear_bounce,hostile,neutral,hostile,neutral,neutral,neutral,hostile,neutral,supportive,veto
5331,bear_bounce,supportive,neutral,neutral,neutral,neutral,supportive,neutral,supportive,supportive,hostile
5350,mid_range_noise,neutral,neutral,neutral,neutral,neutral,supportive,neutral,supportive,neutral,neutral
5414,mid_range_noise,hostile,neutral,hostile,hostile,neutral,neutral,supportive,hostile,neutral,veto
5435,mid_range_noise,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,supportive,neutral
5478,late_top_exhaustion,supportive,neutral,hostile,hostile,hostile,hostile,hostile,neutral,hostile,veto
5530,bull_pullback_continuation,hostile,neutral,hostile,neutral,neutral,supportive,supportive,hostile,hostile,veto
5555,bear_bounce,hostile,neutral,neutral,neutral,neutral,supportive,supportive,hostile,supportive,veto
5627,bottom_reversal_capitulation,hostile,supportive,neutral,neutral,supportive,supportive,supportive,hostile,supportive,veto
5668,late_top_exhaustion,neutral,neutral,hostile,supportive,neutral,hostile,hostile,hostile,neutral,veto
5701,mid_range_noise,supportive,neutral,neutral,hostile,neutral,supportive,supportive,supportive,hostile,neutral
5724,mid_range_noise,neutral,supportive,supportive,hostile,neutral,supportive,supportive,supportive,supportive,hostile
5772,mid_range_noise,hostile,supportive,neutral,neutral,neutral,neutral,neutral,hostile,neutral,hostile
5826,bottom_reversal_capitulation,supportive,neutral,supportive,hostile,supportive,supportive,supportive,supportive,supportive,hostile
5842,demand_reclaim,hostile,hostile,hostile,neutral,hostile,supportive,hostile,hostile,supportive,veto
5866,late_top_exhaustion,neutral,hostile,hostile,neutral,hostile,hostile,hostile,hostile,neutral,veto
5875,bull_pullback_continuation,hostile,hostile,hostile,hostile,hostile,hostile,review_flag,hostile,hostile,hostile
5920,bull_pullback_continuation,hostile,neutral,hostile,neutral,hostile,supportive,supportive,hostile,hostile,veto
5955,bottom_reversal_capitulation,supportive,supportive,neutral,neutral,supportive,supportive,neutral,supportive,neutral,hostile
5998,demand_reclaim,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral
6049,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6069,mid_range_noise,supportive,supportive,neutral,neutral,hostile,supportive,review_flag,supportive,neutral,neutral
6119,bull_pullback_continuation,neutral,neutral,hostile,hostile,hostile,supportive,supportive,neutral,neutral,hostile
6162,late_top_exhaustion,neutral,hostile,hostile,hostile,neutral,supportive,supportive,neutral,hostile,hostile
6193,liquidity_sweep_reversal,supportive,supportive,neutral,hostile,supportive,supportive,neutral,supportive,hostile,neutral
6210,demand_reclaim,supportive,neutral,neutral,hostile,supportive,supportive,supportive,supportive,neutral,hostile
6295,mid_range_noise,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,neutral,neutral
6362,bear_bounce,hostile,neutral,hostile,hostile,neutral,supportive,supportive,hostile,neutral,veto
6376,bear_bounce,supportive,supportive,neutral,neutral,supportive,supportive,supportive,supportive,supportive,hostile
6453,late_top_exhaustion,hostile,neutral,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
6471,late_top_exhaustion,supportive,neutral,hostile,neutral,hostile,hostile,hostile,neutral,hostile,veto
6489,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,supportive,hostile,supportive,hostile,hostile
6523,late_top_exhaustion,supportive,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6597,late_top_exhaustion,supportive,hostile,hostile,neutral,hostile,hostile,hostile,supportive,hostile,veto
6610,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
6711,mid_range_noise,neutral,neutral,neutral,neutral,neutral,supportive,supportive,hostile,supportive,hostile
6729,bull_pullback_continuation,supportive,neutral,neutral,neutral,neutral,supportive,neutral,supportive,supportive,hostile
6741,bull_pullback_continuation,neutral,neutral,hostile,neutral,neutral,hostile,hostile,hostile,neutral,hostile
6767,late_top_exhaustion,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6791,bottom_reversal_capitulation,supportive,supportive,supportive,supportive,supportive,supportive,supportive,supportive,supportive,neutral
6819,bear_bounce,hostile,neutral,neutral,neutral,neutral,neutral,neutral,hostile,supportive,veto
6832,mid_range_noise,supportive,neutral,supportive,neutral,neutral,supportive,supportive,supportive,supportive,neutral
6844,mid_range_noise,supportive,neutral,supportive,neutral,neutral,neutral,supportive,supportive,supportive,neutral
6887,bull_pullback_continuation,supportive,neutral,neutral,hostile,neutral,hostile,supportive,supportive,neutral,neutral
6908,mid_range_noise,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral,hostile
6923,mid_range_noise,supportive,neutral,neutral,hostile,neutral,supportive,neutral,supportive,neutral,hostile
6954,bull_pullback_continuation,supportive,neutral,neutral,hostile,neutral,supportive,supportive,supportive,neutral,neutral
6962,bull_pullback_continuation,neutral,neutral,hostile,neutral,neutral,supportive,supportive,hostile,hostile,veto
6977,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
6992,bull_pullback_continuation,neutral,neutral,neutral,neutral,hostile,neutral,supportive,hostile,hostile,hostile
7022,late_top_exhaustion,supportive,neutral,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
7053,mid_range_noise,supportive,neutral,neutral,neutral,neutral,neutral,supportive,supportive,neutral,neutral
7065,bear_bounce,supportive,supportive,neutral,neutral,supportive,supportive,supportive,supportive,supportive,neutral
7094,late_top_exhaustion,hostile,hostile,hostile,neutral,hostile,supportive,review_flag,hostile,hostile,veto
7119,mid_range_noise,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,neutral
7129,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,hostile,supportive,supportive,neutral,neutral
7149,bear_bounce,neutral,supportive,hostile,supportive,hostile,supportive,hostile,supportive,hostile,hostile
7232,liquidity_sweep_reversal,hostile,supportive,neutral,supportive,neutral,supportive,supportive,hostile,neutral,hostile
7253,mid_range_noise,neutral,neutral,neutral,hostile,neutral,neutral,neutral,supportive,neutral,veto
7408,bull_pullback_continuation,neutral,neutral,neutral,neutral,neutral,supportive,neutral,supportive,neutral,neutral
7426,late_top_exhaustion,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
7454,bull_pullback_continuation,neutral,neutral,neutral,neutral,hostile,hostile,neutral,neutral,hostile,veto
7509,bottom_reversal_capitulation,neutral,supportive,neutral,neutral,supportive,supportive,supportive,neutral,neutral,neutral
7549,liquidity_sweep_reversal,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,hostile
7569,bull_pullback_continuation,neutral,hostile,hostile,neutral,hostile,hostile,hostile,supportive,supportive,neutral
7577,late_top_exhaustion,hostile,hostile,hostile,neutral,hostile,hostile,hostile,hostile,supportive,hostile
7662,bull_pullback_continuation,hostile,neutral,hostile,hostile,neutral,hostile,hostile,hostile,neutral,hostile
7710,mid_range_noise,hostile,neutral,hostile,hostile,neutral,neutral,supportive,hostile,neutral,neutral
7731,demand_reclaim,neutral,neutral,neutral,neutral,neutral,neutral,supportive,hostile,supportive,hostile
7765,bull_pullback_continuation,neutral,hostile,hostile,neutral,hostile,supportive,supportive,supportive,hostile,hostile
7797,late_top_exhaustion,hostile,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
7816,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
7838,liquidity_sweep_reversal,neutral,supportive,hostile,neutral,hostile,hostile,review_flag,neutral,hostile,hostile
7869,bull_pullback_continuation,neutral,neutral,hostile,neutral,hostile,hostile,review_flag,supportive,hostile,hostile
7902,late_top_exhaustion,supportive,neutral,hostile,neutral,hostile,hostile,hostile,neutral,hostile,veto
7924,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,hostile,hostile,hostile,supportive,hostile,neutral
7933,bull_pullback_continuation,hostile,neutral,hostile,hostile,hostile,supportive,supportive,hostile,hostile,hostile
7943,bull_pullback_continuation,supportive,neutral,hostile,hostile,hostile,hostile,neutral,supportive,hostile,hostile
7993,mid_range_noise,hostile,neutral,hostile,neutral,neutral,supportive,supportive,hostile,neutral,hostile
8080,mid_range_noise,neutral,supportive,supportive,neutral,neutral,neutral,neutral,supportive,hostile,hostile
8095,bull_pullback_continuation,supportive,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
8111,late_top_exhaustion,neutral,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
8133,bottom_reversal_capitulation,supportive,supportive,supportive,supportive,neutral,supportive,neutral,supportive,supportive,neutral
8149,demand_reclaim,supportive,neutral,neutral,neutral,supportive,neutral,supportive,supportive,neutral,neutral
8157,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,neutral,supportive,neutral,hostile,hostile
8200,late_top_exhaustion,neutral,supportive,neutral,neutral,hostile,hostile,review_flag,supportive,hostile,hostile
8216,liquidity_sweep_reversal,supportive,supportive,neutral,neutral,neutral,supportive,neutral,supportive,hostile,hostile
8236,mid_range_noise,hostile,neutral,neutral,neutral,neutral,neutral,neutral,hostile,hostile,hostile
8277,mid_range_noise,hostile,neutral,neutral,neutral,neutral,neutral,neutral,hostile,neutral,hostile
8338,bull_pullback_continuation,hostile,neutral,hostile,hostile,hostile,hostile,supportive,hostile,hostile,hostile
8357,bottom_reversal_capitulation,hostile,supportive,neutral,neutral,neutral,supportive,neutral,hostile,supportive,hostile
8371,bull_pullback_continuation,neutral,neutral,hostile,neutral,neutral,supportive,supportive,hostile,hostile,hostile
8403,mid_range_noise,neutral,neutral,neutral,neutral,neutral,supportive,neutral,supportive,hostile,neutral
8431,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,supportive,review_flag,supportive,hostile,neutral
8460,bear_bounce,hostile,neutral,neutral,hostile,neutral,supportive,neutral,hostile,neutral,hostile
8479,bear_bounce,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,supportive,hostile
8497,mid_range_noise,hostile,neutral,hostile,neutral,neutral,supportive,supportive,hostile,neutral,hostile
8544,bull_pullback_continuation,supportive,neutral,hostile,neutral,neutral,supportive,supportive,supportive,neutral,neutral
8589,late_top_exhaustion,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
8622,mid_range_noise,neutral,neutral,neutral,hostile,neutral,neutral,supportive,supportive,neutral,neutral
8635,liquidity_sweep_reversal,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,neutral,neutral
8659,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,supportive,hostile,supportive,hostile,hostile
8765,late_top_exhaustion,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
8823,bull_pullback_continuation,supportive,hostile,hostile,hostile,hostile,supportive,supportive,supportive,hostile,hostile
8858,late_top_exhaustion,neutral,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
8878,demand_reclaim,supportive,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
8893,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,hostile,review_flag,supportive,hostile,hostile
8905,demand_reclaim,supportive,neutral,hostile,neutral,hostile,hostile,hostile,supportive,hostile,hostile
8923,late_top_exhaustion,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
8940,bull_pullback_continuation,supportive,neutral,hostile,neutral,hostile,hostile,supportive,supportive,hostile,hostile
8966,late_top_exhaustion,neutral,supportive,neutral,supportive,hostile,hostile,review_flag,supportive,hostile,neutral
8978,late_top_exhaustion,supportive,supportive,neutral,supportive,neutral,hostile,hostile,supportive,hostile,hostile
9007,bottom_reversal_capitulation,neutral,supportive,supportive,neutral,supportive,supportive,supportive,supportive,supportive,hostile
9081,demand_reclaim,supportive,neutral,neutral,neutral,hostile,hostile,review_flag,supportive,hostile,neutral
9105,mid_range_noise,supportive,neutral,neutral,hostile,neutral,supportive,supportive,supportive,neutral,neutral
9199,demand_reclaim,supportive,neutral,neutral,neutral,neutral,supportive,supportive,supportive,hostile,hostile
9215,demand_reclaim,neutral,supportive,hostile,neutral,hostile,hostile,supportive,supportive,hostile,hostile
9243,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,hostile,hostile,hostile,hostile,veto
9256,bull_pullback_continuation,supportive,hostile,hostile,neutral,hostile,hostile,supportive,supportive,hostile,hostile
9287,demand_reclaim,neutral,neutral,hostile,hostile,hostile,supportive,supportive,neutral,hostile,neutral
9297,bull_pullback_continuation,hostile,hostile,hostile,hostile,hostile,hostile,supportive,hostile,hostile,hostile
9304,mid_range_noise,hostile,neutral,hostile,neutral,neutral,supportive,neutral,hostile,hostile,hostile
9314,bull_pullback_continuation,neutral,neutral,hostile,hostile,hostile,supportive,supportive,hostile,hostile,veto
9329,bull_pullback_continuation,supportive,hostile,hostile,neutral,hostile,hostile,review_flag,supportive,hostile,hostile
9345,bull_pullback_continuation,neutral,neutral,neutral,neutral,hostile,supportive,supportive,supportive,hostile,hostile
9368,late_top_exhaustion,supportive,hostile,hostile,hostile,hostile,hostile,hostile,neutral,hostile,veto
9390,late_top_exhaustion,supportive,hostile,hostile,neutral,hostile,hostile,hostile,hostile,hostile,veto
