plot_id,set,cris,mine,exit,realR,won_big,d1_leg,fam,votes,err,macro_v,auct_v,vol_v,risk_v
T2,B,UNLABELED,REVIEW,WIN_BE,0.79,,MACRO_RANGE,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
T3,B,UNLABELED,REVIEW,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,1T/3R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,REVIEW
T4,B,UNLABELED,TAKE_CANDIDATE,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,TAKE,REVIEW,TAKE
T9,B,UNLABELED,TAKE_CANDIDATE,STOP_LOSS,-1.1,,MACRO_TRANSITION,RISK,3T/1R/0S,MANUTENCAO_ERRADA (bear/risk loser tomado),REVIEW,TAKE,TAKE,TAKE
T11,B,UNLABELED,REVIEW,STOP_LOSS,-1.1,,MACRO_BEAR_LEG,RISK,3T/0R/1S,REVIEW/ambíguo,SKIP,TAKE,TAKE,TAKE
T12,B,UNLABELED,TAKE_CANDIDATE,STOP_LOSS,-1.1,,MACRO_CORRECTIVE_PULLBACK,RISK,3T/1R/0S,MANUTENCAO_ERRADA (bear/risk loser tomado),TAKE,TAKE,REVIEW,TAKE
T13,C,UNLABELED,SKIP_STRUCTURAL,SCRATCH,1.02,,MACRO_RANGE,RISK,0T/3R/1S,REVIEW/ambíguo,SKIP,REVIEW,REVIEW,REVIEW
T14,C,UNLABELED,SKIP_STRUCTURAL,WIN_HELD,1.99,Y,MACRO_BEAR_LEG,RISK,2T/1R/1S,CORTE_ERRADO (big winner SKIPado),SKIP,REVIEW,TAKE,TAKE
T15,B,UNLABELED,SKIP_STRUCTURAL,STOP_LOSS,-1.1,,MACRO_RANGE,RISK,1T/2R/1S,REVIEW/ambíguo,SKIP,REVIEW,REVIEW,TAKE
T16,B,UNLABELED,TAKE_CANDIDATE,STOP_LOSS,-1.1,,MACRO_RANGE,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,TAKE,REVIEW,TAKE
T17,B,UNLABELED,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,,MACRO_BULL_LEG,RISK,1T/3R/0S,REVIEW/ambíguo,REVIEW,REVIEW,REVIEW,TAKE
T18,B,UNLABELED,REVIEW,STOP_LOSS,-1.1,,MACRO_TRANSITION,BULL,0T/4R/0S,REVIEW/ambíguo,REVIEW,REVIEW,REVIEW,REVIEW
T19,C,UNLABELED,REVIEW,WIN_HELD,2.02,Y,MACRO_BULL_LEG,RISK,2T/2R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,TAKE
T20,B,UNLABELED,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
T23,B,UNLABELED,REVIEW,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,REVIEW
T24,B,UNLABELED,WATCHLIST_TRANSFORM,SCRATCH,0.38,,MACRO_RANGE,BULL,1T/3R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,REVIEW
T25,B,UNLABELED,TAKE_CANDIDATE,WIN_BE,0.9,,MACRO_CORRECTIVE_PULLBACK,BULL,4T/0R/0S,REVIEW/ambíguo,TAKE,TAKE,TAKE,TAKE
T26,B,UNLABELED,TAKE_CANDIDATE,WIN_BE,0.9,,MACRO_CORRECTIVE_PULLBACK,BULL,4T/0R/0S,REVIEW/ambíguo,TAKE,TAKE,TAKE,TAKE
T27,C,UNLABELED,SKIP_STRUCTURAL,STOP_LOSS,-1.1,,MACRO_BEAR_LEG,RISK,1T/2R/1S,REVIEW/ambíguo,SKIP,REVIEW,REVIEW,TAKE
T30,B,UNLABELED,REVIEW,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,2T/2R/0S,REVIEW/ambíguo,TAKE,REVIEW,REVIEW,TAKE
T32,C,UNLABELED,WATCHLIST_TRANSFORM,STOP_LOSS,-1.1,,MACRO_BULL_LEG,BULL,4T/0R/0S,REVIEW/ambíguo,TAKE,TAKE,TAKE,TAKE
T33,C,UNLABELED,TAKE_CANDIDATE,WIN_HELD,1.69,Y,MACRO_CORRECTIVE_PULLBACK,BULL,3T/1R/0S,REVIEW/ambíguo,TAKE,REVIEW,TAKE,TAKE
T34,C,PROTECT_entry_fix_SL,REVIEW,STOP_LOSS,-1.1,,MACRO_BEAR_LEG,BULL,1T/3R/0S,"CORTE_ERRADO (Cris PROTECT, eu não-TAKE)",REVIEW,REVIEW,REVIEW,TAKE
T36,C,PROTECT_ressalva,TAKE_CANDIDATE,WIN_BE,0.9,,MACRO_BULL_LEG,BULL,4T/0R/0S,OK_take,TAKE,TAKE,TAKE,TAKE
T40,B,BLOCK,TAKE_CANDIDATE,STOP_LOSS,-1.1,,MACRO_RANGE,BULL,3T/1R/0S,"MANUTENCAO_ERRADA (Cris BLOCK, eu TAKE)",TAKE,TAKE,REVIEW,TAKE
T42,B,UNLABELED,REVIEW,STOP_LOSS,-1.11,,MACRO_RANGE,BULL,2T/2R/0S,REVIEW/ambíguo,REVIEW,REVIEW,TAKE,TAKE
